ligand,receptor,species,cell_sender,cell_receiver,co_exp_value,co_exp_number,co_exp_p,lr_score,rt_score,score,type,all_pair_mean,sender_receiver_pair_mean,all_pair_median,sender_receiver_pair_median,p_value
C4orf48,EPHB4,Human,Acinar_cells,Endothelial_cells,0.016260162601626018,8.0,0.026,0.974,0.9813436587234398,0.9776649342165394,L,11.58534486892456,12.016956132090158,11.041312080703825,11.278056472182268,0.9999999999730375
DEAF1,EPHB4,Human,Acinar_cells,Endothelial_cells,0.06707317073170732,33.0,0.0,1.0,0.9813436587234398,0.990627911338783,L,11.862810702163788,10.741174953575278,11.430520608252923,10.387059124284164,8.614126014499484e-81
METRN,EPHB4,Human,Acinar_cells,Endothelial_cells,0.028455284552845527,14.0,0.0,1.0,0.9813436587234398,0.990627911338783,L,11.785406715271792,10.591976360131929,11.415144381935633,10.082361051400266,6.814230432265252e-45
PDZD11,EPHB4,Human,Acinar_cells,Endothelial_cells,0.028455284552845527,14.0,0.0,1.0,0.9813436587234398,0.990627911338783,L,11.949801290673175,10.591976360131929,11.64756955675973,10.082361051400266,2.1983798217398705e-57
CRYAB,FGFR2,Human,Acinar_cells,Endothelial_cells,0.008130081300813009,4.0,0.025,0.975,0.9999486245456769,0.9873955179825534,L,11.854540481013597,13.473874617861023,11.696169317351014,13.388292113379286,1.0
HDGF,FGFR2,Human,Acinar_cells,Endothelial_cells,0.04065040650406504,20.0,0.042,0.958,0.9999486245456769,0.9787496014378542,L,12.050026932304311,10.366134286311793,11.818625517558708,9.770795037266542,9.766568844345603e-111
IGFBP2,FGFR2,Human,Acinar_cells,Endothelial_cells,0.06910569105691057,34.0,0.0,1.0,0.9999486245456769,0.9999743119429003,L,12.077029493790288,11.810013867668866,11.859017473622462,11.217527733702143,8.175026713278105e-12
SFRP5,FGFR2,Human,Acinar_cells,Endothelial_cells,0.01016260162601626,5.0,0.009,0.991,0.9999486245456769,0.9954642569800112,L,11.509674094698966,11.485038252246227,11.180899587821646,10.904208062754385,0.09476854512003552
EMC10,ACVR2A,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.018,0.982,1.0,0.9909591313469996,L,11.799849694867426,10.122062273463838,11.507990138299256,9.210933866209642,0.030678461490686055
HDGF,ACVR2A,Human,mDCs_A,Endothelial_cells,0.16666666666666666,5.0,0.0,1.0,1.0,1.0,L,11.912962653760715,10.948102735708192,11.666825261069054,11.26793152863132,0.028913298567176816
METRN,ACVR2A,Human,mDCs_A,Endothelial_cells,0.03333333333333333,1.0,0.046,0.954,1.0,0.9767292357659824,L,11.780508397670038,10.755703014351557,11.606421577149026,11.598226965769687,0.19130324807530008
METRNL,ACVR2A,Human,mDCs_A,Endothelial_cells,0.16666666666666666,5.0,0.0,1.0,1.0,1.0,L,12.30467637860637,13.8119584670173,12.134859933526196,13.97048912832677,0.9980837411998172
PDZD11,ACVR2A,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.001,0.999,1.0,0.999499874937461,L,11.919240094447552,14.808437952798958,11.856088836309421,15.890677642695806,0.9218212429559995
SAMD1,ACVR2A,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,1.0,1.0,L,11.94898204273519,9.737010432977945,11.627499714597867,10.737278336750542,0.0021237336470647282
SDCBP,ACVR2A,Human,mDCs_A,Endothelial_cells,0.16666666666666666,5.0,0.0,1.0,1.0,1.0,L,11.969752314758495,9.816579535390547,11.708858452604005,9.479113003356717,2.259041793196396e-05
SVBP,ACVR2A,Human,mDCs_A,Endothelial_cells,0.1,3.0,0.0,1.0,1.0,1.0,L,12.070941548427552,12.05132092596927,11.809839488142485,11.57891594595207,0.3776356749780936
ADA2,RAMP3,Human,mDCs_A,Endothelial_cells,0.36666666666666664,11.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,12.300754104536322,12.074260879940239,11.969987025585478,11.552211441421084,0.25491732386078425
ADPGK,RAMP3,Human,mDCs_A,Endothelial_cells,0.26666666666666666,8.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,12.576533489577152,12.05921155014124,12.228537202839117,12.665382591685624,0.16411021271962156
HAMP,RAMP3,Human,mDCs_A,Endothelial_cells,0.1,3.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,11.813222561839877,12.507131301856163,11.299269512301832,11.631571204328798,0.7579841781785185
IFI30,RAMP3,Human,mDCs_A,Endothelial_cells,0.2,6.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,13.535653614977408,14.693827993080442,13.630464669366292,15.508305352102465,0.9984050064091996
NBL1,RAMP3,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,12.840239929982872,11.561239965604356,12.530017269040343,11.401087880925495,0.03250316431846089
RNASET2,RAMP3,Human,mDCs_A,Endothelial_cells,0.7,21.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,13.075601224102096,12.969517887970731,12.874887695795287,13.0318849854479,0.49225933758077045
SCRG1,RAMP3,Human,mDCs_A,Endothelial_cells,0.03333333333333333,1.0,0.016,0.984,0.9999842196899378,0.9919599146008364,L,13.489715419145634,9.989281451987289,13.294420772155473,8.73922205041804,0.003121690003944162
SRGN,RAMP3,Human,mDCs_A,Endothelial_cells,0.7666666666666667,23.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,12.543396159777567,12.421015589771566,12.204427458170038,12.766776386081423,0.4182683492887749
VASH1,RAMP3,Human,mDCs_A,Endothelial_cells,0.5,15.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,13.05733611726842,12.55894649463839,12.807816825904503,12.928148134267719,0.13244122326343294
VASH2,RAMP3,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,0.9999842196899378,0.9999921098138413,L,14.66223881547442,13.980489883167381,14.484309586602556,14.265614653554511,0.2868252423710479
HAMP,RAMP2,Human,mDCs_A,Endothelial_cells,0.1,3.0,0.0,1.0,0.8818758269464201,0.9390824388446523,L,12.076933059365839,12.507131301856163,11.579912109975355,11.631571204328798,0.6443559119720622
CHADL,NOTCH4,Human,mDCs_A,Endothelial_cells,0.03333333333333333,1.0,0.0,1.0,0.8864341210128761,0.9415063042873776,L,13.232683890512071,8.807142794489817,12.162388924076735,8.388725434996086,0.03088893008330889
EMC10,EPHB4,Human,mDCs_A,Endothelial_cells,0.16666666666666666,5.0,0.003,0.997,0.9996616446104701,0.9983299352802353,L,11.836313789686168,11.064636348866037,11.37533919996617,10.285843569146843,0.10062852606691075
HDGF,EPHB4,Human,mDCs_A,Endothelial_cells,0.3,9.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,11.866510915477178,11.413002171496714,11.388772128182621,11.695524698066166,0.08210797971946227
IGLON5,EPHB4,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,12.139852167151103,11.519443769693778,11.72703468769603,10.31107697617599,0.23273412950600653
ISLR,EPHB4,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.045,0.955,0.9996616446104701,0.9770756729153576,L,12.384320753378104,11.519443769693778,11.993954228500236,10.31107697617599,0.17024382270665944
METRN,EPHB4,Human,mDCs_A,Endothelial_cells,0.1,3.0,0.001,0.999,0.9996616446104701,0.9993307675468917,L,11.785406715271792,9.92932021827505,11.415144381935633,11.079048549872558,0.002526784787926108
METRNL,EPHB4,Human,mDCs_A,Endothelial_cells,0.43333333333333335,13.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,12.339449211776774,12.81969369392452,11.965348537772929,13.117371854888574,0.9596846003550618
PDZD11,EPHB4,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.019,0.981,0.9996616446104701,0.9902868641776842,L,11.949801290673175,13.821206682644759,11.64756955675973,13.387033860887541,0.9437562204154604
SAMD1,EPHB4,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,12.054307623253646,10.302255833008118,11.60294376367241,10.32314888155679,0.00017722343732856034
SDCBP,EPHB4,Human,mDCs_A,Endothelial_cells,0.36666666666666664,11.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,11.97822304935197,10.956311096793279,11.536920087642716,10.825161256977356,0.0012124291237001414
SVBP,EPHB4,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.9996616446104701,0.9998308079922673,L,12.039066284066353,12.204931571671713,11.593120619903997,11.92242156638321,0.5062244419010983
HAMP,CALCRL,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,0.8818758269464201,0.9390824388446523,L,11.81242963485256,11.681874072347409,11.33236472590222,11.313234282131349,0.3903382829252491
SCRG1,CALCRL,Human,mDCs_A,Endothelial_cells,0.03333333333333333,1.0,0.019,0.981,0.8818758269464201,0.9301183721626178,L,13.594788899541516,10.130327466372187,13.40444274835936,9.372881583464228,0.012402090388516555
PLTP,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.001,0.999,0.999745361205029,0.9993726111135045,R,12.600725019667884,12.957390872701286,12.299445173679768,14.564087114586098,0.7431188307329591
ADA2,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.001,0.999,0.999745361205029,0.9993726111135045,LR,11.936182236182608,10.061106165297788,11.604195886105513,9.083820560047432,0.015525228211580772
ADPGK,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,0.999745361205029,0.9998726724963679,LR,12.405907583789723,9.190167850470775,12.174522794265268,11.113501815285767,0.005168491209839263
HDGF,GRM2,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.999745361205029,0.9998726724963679,LR,13.24954115889554,8.679028706548081,13.106649399609758,9.165897766455174,1.737853288507771e-07
NBL1,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.001,0.999,0.999745361205029,0.9993726111135045,LR,12.845963006022052,7.561863935201705,12.63557969215898,7.286312028070299,0.001019430239505056
RNASET2,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.002,0.998,0.999745361205029,0.9988722993869732,LR,13.224675841052068,12.629157059312933,13.127731103130607,12.881458514637963,0.24095461826499914
SDCBP,GRM2,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.999745361205029,0.9998726724963679,LR,12.884605260903202,7.675685911360153,12.668239268435743,7.412278877473881,1.4814777324390687e-10
SRGN,GRM2,Human,mDCs_A,Endothelial_cells,0.13333333333333333,4.0,0.0,1.0,0.999745361205029,0.9998726724963679,LR,12.077088180993211,11.558565015673844,11.724228991482073,12.617841516025358,0.24031511286074775
YBX1,GRM2,Human,mDCs_A,Endothelial_cells,0.06666666666666667,2.0,0.0,1.0,0.999745361205029,0.9998726724963679,LR,13.143178089021935,12.69696545394698,13.019991634866766,13.151565638306414,0.3360343522494101
ANGPTL6,EPHB4,Human,Fibroblasts,Endothelial_cells,0.03902439024390244,8.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.366159050803025,15.924100657933256,12.069372195071038,16.497570233766588,1.0
C1QTNF6,EPHB4,Human,Fibroblasts,Endothelial_cells,0.08780487804878048,18.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.200202375901172,13.04225994097312,11.70727231368668,12.222993168548122,0.9997925183262532
DEAF1,EPHB4,Human,Fibroblasts,Endothelial_cells,0.06829268292682927,14.000000000000002,0.0,1.0,0.9999898457238756,0.9999949228490491,L,11.862810702163788,12.651112370653548,11.430520608252923,11.991233525670996,0.999980588005717
EMC10,EPHB4,Human,Fibroblasts,Endothelial_cells,0.13170731707317074,27.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,11.836313789686168,14.531508286658818,11.37533919996617,14.813460777818852,1.0
IGFBP7,EPHB4,Human,Fibroblasts,Endothelial_cells,0.33170731707317075,68.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.446337615646392,13.925974246752489,12.070750866483902,13.855381514954793,1.0
ISLR,EPHB4,Human,Fibroblasts,Endothelial_cells,0.23902439024390243,49.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.384320753378104,14.158976035304589,11.993954228500236,14.198452326896021,1.0
METRN,EPHB4,Human,Fibroblasts,Endothelial_cells,0.03902439024390244,8.0,0.001,0.999,0.9999898457238756,0.9994948003257204,L,11.785406715271792,15.924100657933256,11.415144381935633,16.497570233766588,1.0
METRNL,EPHB4,Human,Fibroblasts,Endothelial_cells,0.11219512195121951,23.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.339449211776774,13.699793956653675,11.965348537772929,13.419933056484616,1.0
PCOLCE,EPHB4,Human,Fibroblasts,Endothelial_cells,0.24390243902439024,50.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.25756622145415,14.12060180219199,11.908563157505675,14.152192882800863,1.0
PLAC9,EPHB4,Human,Fibroblasts,Endothelial_cells,0.04390243902439024,9.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,12.586231094697668,14.464457613112106,12.281261679191967,14.373526747007617,1.0
SDCBP,EPHB4,Human,Fibroblasts,Endothelial_cells,0.12682926829268293,26.0,0.0,1.0,0.9999898457238756,0.9999949228490491,L,11.97822304935197,14.623757895402463,11.536920087642716,14.90076365367428,1.0
ANGPTL6,FGFR2,Human,Fibroblasts,Endothelial_cells,0.05365853658536585,11.0,0.0,1.0,1.0,1.0,L,12.480031688107147,9.400616150948412,12.342651216835023,7.94326151505975,1.5322569329856608e-58
EMC10,FGFR2,Human,Fibroblasts,Endothelial_cells,0.06341463414634146,13.0,0.0,1.0,1.0,1.0,L,12.001197940614295,12.650860412714067,11.776104136105758,11.610412251921533,0.9119310795867157
ENOX1,FGFR2,Human,Fibroblasts,Endothelial_cells,0.024390243902439025,5.0,0.0,1.0,1.0,1.0,L,12.203159583220662,11.990084034779683,12.032632293096524,10.727093735242956,0.0016064521279846983
ERO1A,FGFR2,Human,Fibroblasts,Endothelial_cells,0.05365853658536585,11.0,0.0,1.0,1.0,1.0,L,12.328816427156529,9.400616150948412,12.072797609780432,7.94326151505975,1.0412850104695004e-57
FAM20C,FGFR2,Human,Fibroblasts,Endothelial_cells,0.09268292682926829,19.0,0.0,1.0,1.0,1.0,L,12.616878987674236,12.859819130061542,12.464843458586538,11.874925733795859,0.30535839839797463
FRZB,FGFR2,Human,Fibroblasts,Endothelial_cells,0.05365853658536585,11.0,0.0,1.0,1.0,1.0,L,12.50386179699371,9.400616150948412,12.342651216835023,7.94326151505975,5.608899849196315e-60
IGFBP2,FGFR2,Human,Fibroblasts,Endothelial_cells,0.07804878048780488,16.0,0.0,1.0,1.0,1.0,L,12.077029493790288,10.737115703893584,11.859017473622462,9.229820157303509,5.965557653778363e-35
IGFBP3,FGFR2,Human,Fibroblasts,Endothelial_cells,0.08292682926829269,17.0,0.0,1.0,1.0,1.0,L,12.451909647435162,12.161566793306465,12.188768501162716,10.77617564142953,5.299178292716307e-08
IGFBP7,FGFR2,Human,Fibroblasts,Endothelial_cells,0.1024390243902439,21.0,0.0,1.0,1.0,1.0,L,12.488845292139766,13.532514949991082,12.297939728366803,13.01412143651953,0.9999999999997401
ISLR,FGFR2,Human,Fibroblasts,Endothelial_cells,0.09268292682926829,19.0,0.0,1.0,1.0,1.0,L,12.498802377532117,12.859819130061542,12.297939728366803,11.874925733795859,0.6639564232825932
METRN,FGFR2,Human,Fibroblasts,Endothelial_cells,0.05365853658536585,11.0,0.0,1.0,1.0,1.0,L,11.918708188402993,9.400616150948412,11.771775838186864,7.94326151505975,1.575236166552404e-47
METRNL,FGFR2,Human,Fibroblasts,Endothelial_cells,0.03414634146341464,7.000000000000001,0.001,0.999,1.0,0.999499874937461,L,12.518365961009852,13.450488036141431,12.318660676702283,13.126981272636815,0.9999956005273145
NBL1,FGFR2,Human,Fibroblasts,Endothelial_cells,0.06829268292682927,14.000000000000002,0.0,1.0,1.0,1.0,L,12.02936735278968,13.588320145478956,11.756973877568374,12.92597457412325,1.0
NDFIP1,FGFR2,Human,Fibroblasts,Endothelial_cells,0.06341463414634146,13.0,0.0,1.0,1.0,1.0,L,12.063116827637527,12.048677501537409,11.85057776902004,10.986073435804443,0.015568521919651534
PCOLCE,FGFR2,Human,Fibroblasts,Endothelial_cells,0.0975609756097561,20.0,0.0,1.0,1.0,1.0,L,12.360156237587663,13.045914536193061,12.201684177951574,12.243776517950401,0.9995079507511367
PDZD2,FGFR2,Human,Fibroblasts,Endothelial_cells,0.024390243902439025,5.0,0.0,1.0,1.0,1.0,L,12.218018055403938,11.990084034779683,12.13412812293005,10.727093735242956,0.001511677467385521
PLAC9,FGFR2,Human,Fibroblasts,Endothelial_cells,0.024390243902439025,5.0,0.0,1.0,1.0,1.0,L,12.67595738553534,11.990084034779683,12.581511797639534,10.727093735242956,1.2105163754163723e-06
PTEN,FGFR2,Human,Fibroblasts,Endothelial_cells,0.09268292682926829,19.0,0.0,1.0,1.0,1.0,L,12.089016429460468,13.137053478928575,11.845951536582893,12.150746838279437,0.9999999880337382
SDCBP,FGFR2,Human,Fibroblasts,Endothelial_cells,0.05853658536585366,12.0,0.002,0.998,1.0,0.9989994994993742,L,12.097511083216707,12.261946944639215,11.857231944170497,10.822450514454994,0.023195479685193265
SFRP4,FGFR2,Human,Fibroblasts,Endothelial_cells,0.024390243902439025,5.0,0.0,1.0,1.0,1.0,L,12.590123139054244,15.85369468112561,12.345780319645694,16.173108554756848,1.0
SOGA1,FGFR2,Human,Fibroblasts,Endothelial_cells,0.024390243902439025,5.0,0.0,1.0,1.0,1.0,L,12.445488467700216,11.990084034779683,12.341128072047654,10.727093735242956,4.6449537166359064e-05
SPARC,FGFR2,Human,Fibroblasts,Endothelial_cells,0.1024390243902439,21.0,0.0,1.0,1.0,1.0,L,12.551313362325171,13.532514949991082,12.358064627420468,13.01412143651953,0.9999999999908303
C1QTNF6,FGFR1,Human,Fibroblasts,Endothelial_cells,0.03414634146341464,7.000000000000001,0.0,1.0,1.0,1.0,L,12.259355320955523,13.190786478427865,11.690435411525765,12.746351993895573,0.9995901788819976
