ligand,receptor,species,cell_sender,cell_receiver,co_exp_value,co_exp_number,co_exp_p,lr_score,rt_score,score,type,all_pair_mean,sender_receiver_pair_mean,all_pair_median,sender_receiver_pair_median,p_value
ICAM1,IL2RG,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.005,0.995,0.9729680917669681,0.9839223807334262,LRDB,13.029997711953921,12.765300834381545,12.757231325544247,13.00657338020761,0.5137143000178197
TIMP3,CD44,Human,Endothelial_cells,Monocytes,0.3333333333333333,5.0,0.0,1.0,0.7391714625010485,0.8597508141903958,LRDB,12.476305562936222,12.439804501862023,12.147225354212008,13.653001258485952,0.5800020786196172
HAS2,CD44,Human,Endothelial_cells,Monocytes,0.2,3.0,0.037,0.963,0.7391714625010485,0.8436955128412795,LRDB,11.987977465364027,10.820015860495527,11.645861107771076,13.043601281421541,0.26211457949096173
FN1,CD44,Human,Endothelial_cells,Monocytes,0.2,3.0,0.012,0.988,0.7391714625010485,0.854576740235209,LRDB,12.449101237391588,12.754404167426959,12.079442074331357,13.711895458091115,0.6691281646644063
SPP1,CD44,Human,Endothelial_cells,Monocytes,0.2,3.0,0.048,0.952,0.7391714625010485,0.8388630593255363,LRDB,11.56324210730094,10.659504784537281,11.242191681121147,13.711895458091115,0.3221560612546035
LGALS9,CD44,Human,Endothelial_cells,Monocytes,0.3333333333333333,5.0,0.004,0.996,0.7391714625010485,0.8580295896127618,LRDB,12.111518535644812,12.21394493145454,11.73383537844164,13.711895458091115,0.614153951756498
VIM,CD44,Human,Endothelial_cells,Monocytes,0.4666666666666667,7.0,0.0,1.0,0.7391714625010485,0.8597508141903958,LRDB,12.377883103795416,12.210688915930493,12.027014608052646,13.425925735446441,0.5375651168659646
HSP90B1,TLR4,Human,Endothelial_cells,Monocytes,0.2,3.0,0.0,1.0,0.9999990980516013,0.999999549025699,LRDB,12.901286871364851,11.399206113443794,12.466666051697143,12.781374747688002,0.13913391020682375
BGN,TLR4,Human,Endothelial_cells,Monocytes,0.06666666666666667,1.0,0.013,0.987,0.9999990980516013,0.9934782885282045,LRDB,13.314642621191805,13.929939056334602,12.94478113730164,15.056536541428734,0.6824123714782456
HMGB1,TLR4,Human,Endothelial_cells,Monocytes,0.26666666666666666,4.0,0.0,1.0,0.9999990980516013,0.999999549025699,LRDB,12.950568527238557,12.38932031844683,12.542070676660554,13.034427467218984,0.3482738003915528
IRAK4,TLR4,Human,Endothelial_cells,Monocytes,0.2,3.0,0.0,1.0,0.9999990980516013,0.999999549025699,LRDB,12.490937455913437,12.362259121589489,12.139172301336167,13.0154709845672,0.5338397469625947
HMGB1,TLR2,Human,Endothelial_cells,Monocytes,0.4,6.0,0.0,1.0,0.9947798743064417,0.997386522019644,LRDB,12.120000031595891,12.49733989119196,11.71650278274424,13.430629941215049,0.7762798389858461
HSP90B1,TLR2,Human,Endothelial_cells,Monocytes,0.2,3.0,0.001,0.999,0.9947798743064417,0.9968877040229432,LRDB,12.067527080226151,12.134451477092906,11.588735090516852,13.428277838330745,0.6747616879298308
BGN,TLR2,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.0,1.0,0.9947798743064417,0.997386522019644,LRDB,12.501095223910182,14.715274857330481,12.108127358959035,18.14431435124167,0.953498569943515
BGN,LY96,Human,Endothelial_cells,Monocytes,0.06666666666666667,1.0,0.032,0.968,0.8501388175557265,0.9071573046577662,LRDB,12.851483699410927,12.990203548226264,12.380074047415858,15.691374710775086,0.5843623374482465
GRN,TNFRSF1B,Human,mDCs_A,Monocytes,0.6,3.0,0.0,1.0,0.935030830871336,0.9669699224233068,LRDB,12.51490401082482,8.96403291076486,12.164943201713417,8.198114309210215,0.03055470201234537
TNF,TNFRSF1B,Human,mDCs_A,Monocytes,0.4,2.0,0.0,1.0,0.935030830871336,0.9669699224233068,LRDB,11.576924866514965,7.536876981774323,11.232568536326855,7.444764670445991,0.036088614136598196
ICAM3,ITGB2,Human,mDCs_A,Monocytes,0.2,1.0,0.01,0.99,0.943381931414308,0.9664099089414206,LRDB,12.731099763621243,5.974495431104892,12.398294879206862,1.993553169183529,0.013629656864676752
C3,ITGB2,Human,mDCs_A,Monocytes,0.8,4.0,0.0,1.0,0.943381931414308,0.9712785035273395,LRDB,11.898596700041667,8.526766397787684,11.521444964272863,8.083444955345751,0.017346598051276203
CD14,ITGB2,Human,mDCs_A,Monocytes,0.8,4.0,0.0,1.0,0.943381931414308,0.9712785035273395,LRDB,12.39895876530034,8.526766397787684,12.063880868678872,8.083444955345751,0.009239969614415977
S100A8,ITGB2,Human,mDCs_A,Monocytes,0.4,2.0,0.0,1.0,0.943381931414308,0.9712785035273395,LRDB,12.466242854776365,10.12018446374329,12.034584613824775,12.585892516282671,0.21576786623976824
S100A9,ITGB2,Human,mDCs_A,Monocytes,0.4,2.0,0.0,1.0,0.943381931414308,0.9712785035273395,LRDB,12.366430389244504,6.9333483318320805,11.968763664664964,7.444764670445991,0.0052392257085198835
IL1RN,IL1R2,Human,mDCs_A,Monocytes,0.2,1.0,0.039,0.961,0.9972926957603816,0.9789781818946358,LRDB,12.272552222469269,9.603362336054465,11.808540582263255,9.822529755435832,0.2206232199956774
CXCL5,CXCR2,Human,mDCs_A,Monocytes,0.2,1.0,0.002,0.998,0.7167853694650885,0.8457847236301672,LRDB,12.006234323574867,9.036166959694853,11.434654149745747,9.036166959694853,0.33347918017041583
CXCL8,CXCR2,Human,mDCs_A,Monocytes,0.2,1.0,0.007,0.993,0.7167853694650885,0.843663364072918,LRDB,11.884270122322791,9.036166959694853,11.324490858821713,9.036166959694853,0.33118871550019346
GNAI2,CXCR2,Human,mDCs_A,Monocytes,0.2,1.0,0.011,0.989,0.7167853694650885,0.8419624281409311,LRDB,12.297355815655813,5.820870910539893,11.729833000328307,1.993553169183529,0.01608551761009276
HSP90B1,TLR4,Human,mDCs_A,Monocytes,0.2,1.0,0.02,0.98,0.999999999979873,0.9899494936512042,LRDB,12.901286871364851,6.7777003458789835,12.466666051697143,4.519233732063114,0.04767508139867679
CD14,TLR4,Human,mDCs_A,Monocytes,0.2,1.0,0.005,0.995,0.999999999979873,0.9974968671529618,LRDB,12.833204355267442,6.7777003458789835,12.423625873196025,4.519233732063114,0.04827696824148449
HMGB1,TLR4,Human,mDCs_A,Monocytes,0.2,1.0,0.017,0.983,0.999999999979873,0.9914635646256574,LRDB,12.950568527238557,5.820870910539893,12.542070676660554,1.993553169183529,0.012611577863200418
S100A8,TLR4,Human,mDCs_A,Monocytes,0.2,1.0,0.003,0.997,0.999999999979873,0.9984988732992809,LRDB,13.287158510652764,9.036166959694853,12.899036081437282,9.036166959694853,0.2606689707741571
HSPA1A,TLR4,Human,mDCs_A,Monocytes,0.2,1.0,0.008,0.992,0.999999999979873,0.9959919678290754,LRDB,13.356406204698475,6.7777003458789835,12.902081648152507,4.519233732063114,0.0409322952016803
CD14,TLR6,Human,mDCs_A,Monocytes,0.2,1.0,0.005,0.995,0.7772998611746911,0.8794392314815263,LRDB,12.56675797279899,6.956392892957422,12.236347172825779,4.341058420611721,0.010656556962010415
TNF,TNFRSF1A,Human,mDCs_A,Monocytes,0.2,1.0,0.006,0.994,0.992222542613356,0.9931108736478903,LRDB,11.807463280501592,8.584587994634132,11.747615082860944,7.444764670445991,0.1209425944009167
LTB,TNFRSF1A,Human,mDCs_A,Monocytes,0.2,1.0,0.024,0.976,0.992222542613356,0.9840778432576538,LRDB,12.39280534372524,6.909234212789964,11.933510338923359,1.3522376645118421,0.09547162132198744
HMGB1,TLR2,Human,mDCs_A,Monocytes,0.6,3.0,0.0,1.0,0.999999694097773,0.9999998470488748,LRDB,12.120000031595891,8.679530419443502,11.71650278274424,6.883230181800097,0.03807826918920845
HSP90B1,TLR2,Human,mDCs_A,Monocytes,0.4,2.0,0.001,0.999,0.999999694097773,0.9994997220628304,LRDB,12.067527080226151,9.122104471106887,11.588735090516852,7.444764670445991,0.09059449416718246
HRAS,TLR2,Human,mDCs_A,Monocytes,0.2,1.0,0.014,0.986,0.999999694097773,0.9929751751078192,LRDB,12.076582429166633,8.584587994634132,11.64180953949829,7.444764670445991,0.11322965565983278
RNASE2,TLR2,Human,mDCs_A,Monocytes,0.2,1.0,0.002,0.998,0.999999694097773,0.9989993467012767,LRDB,12.240422654540703,9.659620947579638,11.945941650614378,9.956202535599036,0.2329196851756799
SYK,FCGR2A,Human,mDCs_A,Monocytes,0.6,3.0,0.0,1.0,0.655588010121693,0.8096838951848387,LRDB,12.330100410111063,3.746003761091915,11.966522243829472,1.6728954168476857,1.5825657947701343e-06
GRN,TNFRSF1B,Human,Fibroblasts,Monocytes,0.16216216216216217,6.0,0.0,1.0,0.7724543828071838,0.8788938404649244,LRDB,12.51490401082482,11.256873511441954,12.164943201713417,11.166948562610987,0.006237103857251934
MMP2,PECAM1,Human,Fibroblasts,Monocytes,0.2702702702702703,10.0,0.0,1.0,0.6555729899070013,0.8096746197745125,LRDB,13.131640507316321,13.692006923151213,12.824043747253036,14.283761248946503,0.9455993219184745
PLAT,ITGB2,Human,Fibroblasts,Monocytes,0.1891891891891892,7.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.142717723895098,12.208673013797334,11.733808462650895,12.633019171912961,0.578543502289669
C3,ITGB2,Human,Fibroblasts,Monocytes,0.24324324324324326,9.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,11.898596700041667,12.749444138681755,11.521444964272863,12.700448989392164,0.9899713817623228
ICAM1,ITGB2,Human,Fibroblasts,Monocytes,0.2972972972972973,11.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.635867844188251,11.94907277379651,12.245582589325302,12.304074256411226,0.013969600151156643
JAM3,ITGB2,Human,Fibroblasts,Monocytes,0.13513513513513514,5.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.912908807632261,14.497318754499629,12.532807328046381,15.016183805584818,0.9969208620343581
PLAU,ITGB2,Human,Fibroblasts,Monocytes,0.5405405405405406,20.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.797735809413725,12.589795653348165,12.430270355560097,12.633019171912961,0.20924342455702988
F10,ITGB2,Human,Fibroblasts,Monocytes,0.13513513513513514,5.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.961688830243755,14.497318754499629,12.636800376615835,15.016183805584818,0.9960491940422544
SPON2,ITGB2,Human,Fibroblasts,Monocytes,0.5405405405405406,20.0,0.0,1.0,0.9829975329656233,0.9914623204971651,LRDB,12.583099885161996,12.589795653348165,12.17578686168136,12.633019171912961,0.5217005620704603
COL1A1,ITGA5,Human,Fibroblasts,Monocytes,0.24324324324324326,9.0,0.0,1.0,0.7700039187406861,0.8774986716461092,LRDB,12.99458270730471,11.85886948084274,12.590841317991245,11.411625200387343,0.0018050463590615809
TNC,ITGA5,Human,Fibroblasts,Monocytes,0.08108108108108109,3.0,0.016,0.984,0.7700039187406861,0.8704503754039257,LRDB,12.33029065598457,11.641536032288325,12.006315037261295,10.650624240082893,0.06986827998790977
PLAU,ITGA5,Human,Fibroblasts,Monocytes,0.21621621621621623,8.0,0.0,1.0,0.7700039187406861,0.8774986716461092,LRDB,12.773001025281058,11.196590600728548,12.340875903122525,10.624303675432607,0.00025402592233858957
FBN1,ITGA5,Human,Fibroblasts,Monocytes,0.24324324324324326,9.0,0.0,1.0,0.7700039187406861,0.8774986716461092,LRDB,13.00567371635218,11.85886948084274,12.609517633180367,11.411625200387343,0.0015962333198224724
FN1,ITGA5,Human,Fibroblasts,Monocytes,0.21621621621621623,8.0,0.0,1.0,0.7700039187406861,0.8774986716461092,LRDB,12.911446239633442,11.446414086489884,12.507326184972761,10.818346358155516,0.00015482224255596882
ICAM1,ITGAL,Human,Fibroblasts,Monocytes,0.10810810810810811,4.0,0.0,1.0,0.7430367254000622,0.8619957803841398,LRDB,12.791413127031435,12.159212218398629,12.564450988196624,12.761811054577098,0.20067010979357325
ICAM1,IL2RG,Human,Fibroblasts,Monocytes,0.13513513513513514,5.0,0.0,1.0,0.9820137900379085,0.9909660892472095,LRDB,13.029997711953921,12.138592554499082,12.757231325544247,12.372748594942259,0.04592804665038992
HSP90B1,TLR4,Human,Fibroblasts,Monocytes,0.16216216216216217,6.0,0.0,1.0,0.9999991436672361,0.9999995718335264,LRDB,12.901286871364851,12.021915850527176,12.466666051697143,12.372748594942259,0.04348114655641895
BGN,TLR4,Human,Fibroblasts,Monocytes,0.2702702702702703,10.0,0.0,1.0,0.9999991436672361,0.9999995718335264,LRDB,13.314642621191805,12.903140456264232,12.94478113730164,12.932819051469902,0.17701131970972334
HMGB1,TLR4,Human,Fibroblasts,Monocytes,0.1891891891891892,7.0,0.0,1.0,0.9999991436672361,0.9999995718335264,LRDB,12.950568527238557,12.430456067607983,12.542070676660554,12.866221113945718,0.20358325411398237
HSPA1A,TLR4,Human,Fibroblasts,Monocytes,0.08108108108108109,3.0,0.0,1.0,0.9999991436672361,0.9999995718335264,LRDB,13.356406204698475,12.50691708601864,12.902081648152507,12.742239773525402,0.12385994187839289
ADAM17,IL6R,Human,Fibroblasts,Monocytes,0.10810810810810811,4.0,0.0,1.0,0.8281720550607858,0.9100395898315555,LRDB,12.059752022116111,10.269962245616743,11.574566464080602,10.410760508046135,0.0016352488689811671
HMGB1,TLR2,Human,Fibroblasts,Monocytes,0.08108108108108109,3.0,0.006,0.994,0.9999115808299811,0.9969514087180986,LRDB,12.120000031595891,13.266710810471901,11.71650278274424,13.903989635714822,0.976819450266137
HSP90B1,TLR2,Human,Fibroblasts,Monocytes,0.16216216216216217,6.0,0.0,1.0,0.9999115808299811,0.9999557894377037,LRDB,12.067527080226151,12.673576866982483,11.588735090516852,12.812611875100124,0.9248909588131543
BGN,TLR2,Human,Fibroblasts,Monocytes,0.2702702702702703,10.0,0.0,1.0,0.9999115808299811,0.9999557894377037,LRDB,12.501095223910182,13.40612188786678,12.108127358959035,13.232145829430273,0.98795666876445
VCAN,TLR2,Human,Fibroblasts,Monocytes,0.2702702702702703,10.0,0.0,1.0,0.9999115808299811,0.9999557894377037,LRDB,12.457457542872852,13.501638141432169,12.034998889777675,13.627054256164193,0.9977756103690144
BGN,LY96,Human,Fibroblasts,Monocytes,0.16216216216216217,6.0,0.0,1.0,0.8507568903995828,0.9223648358429449,LRDB,12.851483699410927,12.569286898068171,12.380074047415858,12.884472855358325,0.4490798797020972
GRN,TNFRSF1B,Human,Ductal_,Monocytes,0.3217391304347826,37.0,0.0,1.0,0.7143624294910559,0.8451996388375091,LRDB,12.51490401082482,10.829886207523044,12.164943201713417,10.295979319230305,1.917062922054614e-53
ICAM3,ITGB2,Human,Ductal_,Monocytes,0.017391304347826087,2.0,0.032,0.968,0.9977416346763052,0.9827583133032574,LRDB,12.731099763621243,11.478697523797566,12.398294879206862,12.102904368098134,0.009116967534731443
PLAT,ITGB2,Human,Ductal_,Monocytes,0.3739130434782609,43.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,12.142717723895098,11.122776755490419,11.733808462650895,11.061593286571735,7.808157674813913e-26
C3,ITGB2,Human,Ductal_,Monocytes,0.46956521739130436,54.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,11.898596700041667,10.746746446536205,11.521444964272863,10.309660485189335,1.3120890554042247e-41
ICAM1,ITGB2,Human,Ductal_,Monocytes,0.06086956521739131,7.0,0.001,0.999,0.9977416346763052,0.9983706190797228,LRDB,12.635867844188251,11.404468102635052,12.245582589325302,11.386239534386085,1.411613698738135e-06
CD14,ITGB2,Human,Ductal_,Monocytes,0.08695652173913043,10.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,12.39895876530034,11.097879228970331,12.063880868678872,11.172796400465463,1.0947992363272808e-09
FGB,ITGB2,Human,Ductal_,Monocytes,0.16521739130434782,19.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,11.801071272547997,11.66434329010241,11.472140869989207,11.673654840125227,0.3182723924054431
FGA,ITGB2,Human,Ductal_,Monocytes,0.46956521739130436,54.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,11.611933079850763,10.940352150116,11.288704865475289,10.670224071761625,5.7743328924409656e-15
FGG,ITGB2,Human,Ductal_,Monocytes,0.3130434782608696,36.0,0.0,1.0,0.9977416346763052,0.9988701790905088,LRDB,11.52284654829453,10.574396613199976,11.284458380229653,10.261788556748652,2.279345674421698e-22
S100A9,ITGB2,Human,Ductal_,Monocytes,0.02608695652173913,3.0,0.018,0.982,0.9977416346763052,0.9898395249999525,LRDB,12.366430389244504,12.447721004714769,11.968763664664964,13.146943448002984,0.7943226266723471
SPON2,ITGB2,Human,Ductal_,Monocytes,0.02608695652173913,3.0,0.037,0.963,0.9977416346763052,0.9802169118074233,LRDB,12.583099885161996,9.865076838367736,12.17578686168136,9.301357143582958,2.7321027715800997e-16
MIF,CXCR2,Human,Ductal_,Monocytes,0.02608695652173913,3.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,11.902252378000782,10.863037499641024,11.107321197302202,11.871410822611471,0.028885332501635802
CXCL6,CXCR2,Human,Ductal_,Monocytes,0.043478260869565216,5.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,12.702443171244239,12.764946829259268,12.321599836736599,13.784839364581032,0.7334656315493586
VASP,CXCR2,Human,Ductal_,Monocytes,0.21739130434782608,25.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,12.059563460075903,11.710344158034363,11.440839123510537,11.936543123571443,0.06064415282706762
CXCL3,CXCR2,Human,Ductal_,Monocytes,0.043478260869565216,5.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,12.209967635115447,12.968612007644827,11.5879289789329,13.66445064955697,0.9999722053125178
CXCL5,CXCR2,Human,Ductal_,Monocytes,0.017391304347826087,2.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,12.006234323574867,12.389943263744435,11.434654149745747,12.433818334788272,0.9383062961674855
CXCL8,CXCR2,Human,Ductal_,Monocytes,0.13043478260869565,15.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,11.884270122322791,12.493403041585905,11.324490858821713,12.44210441404221,0.9999702426305885
GNAI2,CXCR2,Human,Ductal_,Monocytes,0.1826086956521739,21.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,12.297355815655813,11.649130237244663,11.729833000328307,11.703038237320875,8.960621053916643e-06
CXCL2,CXCR2,Human,Ductal_,Monocytes,0.06956521739130435,8.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,11.784097616287834,11.707489847398085,11.261216687491808,11.75052956475341,0.5737496141016466
CXCL1,CXCR2,Human,Ductal_,Monocytes,0.06956521739130435,8.0,0.0,1.0,0.8984555116979306,0.947868931708351,LRDB,11.88676215663944,11.921391107146535,11.299879199498621,12.361499915852201,0.7867982764060024
VTN,ITGA5,Human,Ductal_,Monocytes,0.02608695652173913,3.0,0.011,0.989,0.8675685791619159,0.9262965641689139,LRDB,12.41092577407576,9.68874715245238,12.125480201831163,9.14449730988213,3.331480316351118e-20
TNC,ITGA5,Human,Ductal_,Monocytes,0.0782608695652174,9.0,0.0,1.0,0.8675685791619159,0.9314336150053399,LRDB,12.33029065598457,9.95532177396948,12.006315037261295,9.32865609866221,3.7695135929713815e-30
SPP1,ITGA5,Human,Ductal_,Monocytes,0.1826086956521739,21.0,0.0,1.0,0.8675685791619159,0.9314336150053399,LRDB,12.206160094546386,9.375335119297018,11.988659596225435,9.117894679863396,2.9421040112951405e-91
FGG,ITGA5,Human,Ductal_,Monocytes,0.1391304347826087,16.0,0.0,1.0,0.8675685791619159,0.9314336150053399,LRDB,11.946037754913485,8.942062796291964,11.856237203053428,8.84421731627812,2.8087897550832075e-78
FGA,ITGA5,Human,Ductal_,Monocytes,0.19130434782608696,22.0,0.0,1.0,0.8675685791619159,0.9314336150053399,LRDB,11.986866630547091,9.404157099798542,11.81312610074242,9.14449730988213,2.411989811500264e-81
ADAM15,ITGA5,Human,Ductal_,Monocytes,0.09565217391304348,11.0,0.0,1.0,0.8675685791619159,0.9314336150053399,LRDB,12.641738103728327,9.362425734310623,12.290059075751532,9.005128939520898,2.234484185385079e-47
ADAM17,ITGA5,Human,Ductal_,Monocytes,0.06086956521739131,7.0,0.004,0.996,0.8675685791619159,0.9295688811730243,LRDB,12.562737189339595,9.589738037774643,12.125358438049938,9.259688530607301,2.3180721840115034e-23
EFNB2,PECAM1,Human,Ductal_,Monocytes,0.06086956521739131,7.0,0.0,1.0,0.6727189768073595,0.8201944749919737,LRDB,13.051221660701623,12.458841630415746,12.706563863817903,13.213069811953083,0.03942033172130132
JAG1,NOTCH2,Human,Ductal_,Monocytes,0.06956521739130435,8.0,0.0,1.0,0.999999694097773,0.9999998470488748,LRDB,12.239987305861428,11.221034431350656,11.888026743052958,11.159400651810909,0.0016135745873283418
PSEN1,NOTCH2,Human,Ductal_,Monocytes,0.05217391304347826,6.0,0.004,0.996,0.999999694097773,0.9979978433450555,LRDB,12.099102111828675,11.305354467080006,11.761344910746333,11.240259898474516,0.0027767801431199174
ADAM10,NOTCH2,Human,Ductal_,Monocytes,0.08695652173913043,10.0,0.003,0.997,0.999999694097773,0.9984987205878031,LRDB,12.162794138777333,10.782206225833322,11.76037010362705,10.497415178478384,1.603274472827259e-09
APP,NOTCH2,Human,Ductal_,Monocytes,0.19130434782608696,22.0,0.0,1.0,0.999999694097773,0.9999998470488748,LRDB,12.21542375461691,10.785736231742673,11.876130585929609,10.268185737422773,9.132442154028322e-24
IL1RN,IL1R2,Human,Ductal_,Monocytes,0.3652173913043478,42.0,0.0,1.0,0.9974126888758269,0.998705506581308,LRDB,12.272552222469269,11.746203809944987,11.808540582263255,12.04031979312164,2.6515558195817398e-05
LYZ,ITGAL,Human,Ductal_,Monocytes,0.0782608695652174,9.0,0.0,1.0,0.7410657437020647,0.8608517547766658,LRDB,12.300291793197209,11.372361607342352,12.004367981859843,12.053546021509698,4.2388869017634045e-06
