ligand,receptor,species,type
CCL13,CCR2,Human,LRDB
CCL13,CCR5,Human,LRDB
CCL13,ACKR4,Human,LRDB
CCL13,CCR9,Human,LRDB
COL1A1,ITGA5,Human,LRDB
COL1A1,CD93,Human,LRDB
COL1A1,FLT4,Human,LRDB
COL1A1,CD36,Human,LRDB
COL1A1,ITGA1,Human,LRDB
COL1A1,DDR2,Human,LRDB
COL1A1,CD44,Human,LRDB
COL1A1,ITGAV,Human,LRDB
COL1A1,ITGB1,Human,LRDB
COL1A1,ITGA11,Human,LRDB
COL1A1,TMPRSS6,Human,LRDB
COL1A1,ITGA2,Human,LRDB
COL1A1,DDR1,Human,LRDB
EFNB3,EPHB6,Human,LRDB
EFNB3,EPHB4,Human,LRDB
EFNB3,RHBDL2,Human,LRDB
EFNB3,EPHB1,Human,LRDB
EFNB3,EPHB3,Human,LRDB
EFNB3,EPHB2,Human,LRDB
EFNB3,EPHA4,Human,LRDB
VTN,ITGA5,Human,LRDB
VTN,ITGA8,Human,LRDB
VTN,CD47,Human,LRDB
VTN,ITGAV,Human,LRDB
VTN,ITGB1,Human,LRDB
VTN,KDR,Human,LRDB
VTN,PLAUR,Human,LRDB
VTN,ITGA2B,Human,LRDB
VTN,ITGB3,Human,LRDB
VTN,ITGB6,Human,LRDB
VTN,TNFRSF11B,Human,LRDB
VTN,PVR,Human,LRDB
VTN,ITGB5,Human,LRDB
IBSP,ITGB3,Human,LRDB
IBSP,ITGAV,Human,LRDB
CXCL6,ADRA2A,Human,LRDB
CXCL6,ACKR1,Human,LRDB
CXCL6,CXCR2,Human,LRDB
CXCL6,GRM7,Human,LRDB
CXCL6,CXCR1,Human,LRDB
CXCL6,MTNR1A,Human,LRDB
IL2,IL2RA,Human,LRDB
IL2,IL2RG,Human,LRDB
IL2,CD53,Human,LRDB
APOC3,LRP2,Human,LRDB
APOC3,LDLR,Human,LRDB
APOC3,LRP1,Human,LRDB
APOC3,SDC2,Human,LRDB
APOC3,TLR2,Human,LRDB
KITLG,KIT,Human,LRDB
CLEC2B,KLRF1,Human,LRDB
SELPLG,ITGAM,Human,LRDB
SELPLG,ESAM,Human,LRDB
SELPLG,SELL,Human,LRDB
SELPLG,SELP,Human,LRDB
SELPLG,SELE,Human,LRDB
SELPLG,ITGB2,Human,LRDB
IL23A,IL12RB1,Human,LRDB
IL23A,IL12RB2,Human,LRDB
IL23A,IL23R,Human,LRDB
FGF6,FGFR2,Human,LRDB
FGF6,SDC4,Human,LRDB
FGF6,FGFR4,Human,LRDB
FGF6,FGFR1,Human,LRDB
FGF6,FGFR3,Human,LRDB
IL26,IL10RB,Human,LRDB
IL26,IL20RA,Human,LRDB
IFNG,IFNGR2,Human,LRDB
IFNG,IFNGR1,Human,LRDB
GNB3,TGFBR1,Human,LRDB
GNB3,GABBR2,Human,LRDB
ULBP1,KLRK1,Human,LRDB
LAMA4,ITGA6,Human,LRDB
LAMA4,ITGAV,Human,LRDB
LAMA4,ITGB1,Human,LRDB
HBEGF,CD44,Human,LRDB
HBEGF,EGFR,Human,LRDB
HBEGF,CD9,Human,LRDB
HBEGF,PRLR,Human,LRDB
HBEGF,ERBB2,Human,LRDB
HBEGF,ERBB4,Human,LRDB
IL12B,IL12RB1,Human,LRDB
IL12B,IL23R,Human,LRDB
IL12B,IL12RB2,Human,LRDB
IL4,IL13RA2,Human,LRDB
IL4,IL2RG,Human,LRDB
IL4,CD53,Human,LRDB
IL4,IL13RA1,Human,LRDB
IL4,IL4R,Human,LRDB
IL5,CSF2RB,Human,LRDB
IL5,IL5RA,Human,LRDB
SEMA3G,NRP2,Human,LRDB
LTF,LRP1,Human,LRDB
LTF,TFRC,Human,LRDB
HRG,ERBB2,Human,LRDB
HRG,FCGR1A,Human,LRDB
HRG,ERBB3,Human,LRDB
TFPI,VLDLR,Human,LRDB
TFPI,LRP1,Human,LRDB
TFPI,SDC4,Human,LRDB
TFPI,F3,Human,LRDB
APOB,ITGAM,Human,LRDB
APOB,LRP6,Human,LRDB
APOB,OLR1,Human,LRDB
APOB,LRP2,Human,LRDB
APOB,VLDLR,Human,LRDB
APOB,LDLR,Human,LRDB
APOB,CALCR,Human,LRDB
APOB,MTTP,Human,LRDB
APOB,LSR,Human,LRDB
APOB,ADRB2,Human,LRDB
APOB,TLR6,Human,LRDB
APOB,LRP1,Human,LRDB
APOB,ITGB2,Human,LRDB
APOB,TLR4,Human,LRDB
APOB,LRP8,Human,LRDB
WNT6,FZD4,Human,LRDB
PROC,ITGAM,Human,LRDB
PROC,ITGB2,Human,LRDB
PROC,THBD,Human,LRDB
ANGPTL1,TEK,Human,LRDB
CD160,TNFRSF14,Human,LRDB
APOA1,ABCA1,Human,LRDB
APOA1,LRP2,Human,LRDB
APOA1,LDLR,Human,LRDB
APOA1,LRP1,Human,LRDB
FGF23,FGFR2,Human,LRDB
FGF23,PHEX,Human,LRDB
FGF23,KL,Human,LRDB
FGF23,FGFR4,Human,LRDB
FGF23,FGFR1,Human,LRDB
FGF23,FGFR3,Human,LRDB
TGFB3,ENG,Human,LRDB
TGFB3,ITGB1,Human,LRDB
TGFB3,TGFBR2,Human,LRDB
TGFB3,ITGB3,Human,LRDB
TGFB3,TGFBR1,Human,LRDB
TGFB3,ACVRL1,Human,LRDB
TGFB3,ITGB6,Human,LRDB
TGFB3,ITGB5,Human,LRDB
IFNA7,IFNAR2,Human,LRDB
IFNA7,IFNAR1,Human,LRDB
IAPP,PTH1R,Human,LRDB
IAPP,ADCYAP1R1,Human,LRDB
IAPP,RAMP2,Human,LRDB
IAPP,VIPR1,Human,LRDB
IAPP,CALCR,Human,LRDB
IAPP,RAMP3,Human,LRDB
IAPP,GPR20,Human,LRDB
IAPP,ADRB2,Human,LRDB
IAPP,RAMP1,Human,LRDB
IAPP,ADRB3,Human,LRDB
IAPP,TSHR,Human,LRDB
IAPP,GPR84,Human,LRDB
TNFSF10,TNFRSF10D,Human,LRDB
TNFSF10,RIPK1,Human,LRDB
TNFSF10,TNFRSF10B,Human,LRDB
TNFSF10,TNFRSF10C,Human,LRDB
TNFSF10,TNFRSF11B,Human,LRDB
GSTM2,RYR2,Human,LRDB
INHBA,ACVR1,Human,LRDB
INHBA,ACVR2B,Human,LRDB
INHBA,ENG,Human,LRDB
INHBA,SMAD3,Human,LRDB
INHBA,BAMBI,Human,LRDB
INHBA,ACVR1B,Human,LRDB
INHA,ACVR1,Human,LRDB
INHA,ACVR2B,Human,LRDB
PI3,PLD2,Human,LRDB
IL17C,IL17RE,Human,LRDB
LYPD3,AGR2,Human,LRDB
EREG,ERBB2,Human,LRDB
EREG,EGFR,Human,LRDB
EREG,ERBB4,Human,LRDB
EREG,ERBB3,Human,LRDB
EFNB2,EPHB6,Human,LRDB
EFNB2,PECAM1,Human,LRDB
EFNB2,EPHB4,Human,LRDB
EFNB2,RHBDL2,Human,LRDB
EFNB2,EPHA3,Human,LRDB
EFNB2,EPHB1,Human,LRDB
EFNB2,EPHB3,Human,LRDB
EFNB2,GRM5,Human,LRDB
EFNB2,EPHB2,Human,LRDB
EFNB2,EPHA4,Human,LRDB
EFNB2,EPHA6,Human,LRDB
EFNB2,GRM1,Human,LRDB
BMP4,LRP6,Human,LRDB
BMP4,BMPR2,Human,LRDB
BMP4,BMPR1A,Human,LRDB
BMP4,HJV,Human,LRDB
BMP4,BMPR1B,Human,LRDB
PSPN,GFRA3,Human,LRDB
PSPN,RET,Human,LRDB
PSPN,SDC3,Human,LRDB
PSPN,GFRA2,Human,LRDB
PSPN,GFRA4,Human,LRDB
PSPN,GFRA1,Human,LRDB
TNFSF9,TNFRSF9,Human,LRDB
TNFSF9,PVR,Human,LRDB
TNFSF9,TRAF2,Human,LRDB
CD70,TNFRSF13B,Human,LRDB
CD70,CD27,Human,LRDB
C3,ITGAM,Human,LRDB
C3,CD19,Human,LRDB
C3,CD46,Human,LRDB
C3,MTNR1A,Human,LRDB
C3,C5AR2,Human,LRDB
C3,CR2,Human,LRDB
C3,GRM7,Human,LRDB
C3,ITGAX,Human,LRDB
C3,C3AR1,Human,LRDB
C3,ADRA2A,Human,LRDB
C3,IFITM1,Human,LRDB
C3,CR1,Human,LRDB
C3,ITGB2,Human,LRDB
C3,CD81,Human,LRDB
VASP,CXCR2,Human,LRDB
SLURP1,CHRNA7,Human,LRDB
GDF1,ACVR2B,Human,LRDB
GDF1,SMAD3,Human,LRDB
GDF1,ACVR1B,Human,LRDB
OMG,RTN4RL1,Human,LRDB
OMG,LINGO1,Human,LRDB
LIF,LIFR,Human,LRDB
LIF,IL6ST,Human,LRDB
DLL4,NOTCH1,Human,LRDB
DLL4,NOTCH4,Human,LRDB
DLL4,NOTCH2,Human,LRDB
DLL4,NOTCH3,Human,LRDB
TPH1,HTR7,Human,LRDB
TPH1,HTR1A,Human,LRDB
TPH1,HTR1F,Human,LRDB
TPH1,HTR1D,Human,LRDB
TPH1,HTR2C,Human,LRDB
TPH1,HTR4,Human,LRDB
TPH1,HTR6,Human,LRDB
TPH1,HTR1B,Human,LRDB
TPH1,HTR2A,Human,LRDB
TPH1,HTR2B,Human,LRDB
TPH1,HTR5A,Human,LRDB
TPH1,HTR1E,Human,LRDB
AANAT,MTNR1B,Human,LRDB
AANAT,MTNR1A,Human,LRDB
LMAN1,MCFD2,Human,LRDB
APOE,LRP6,Human,LRDB
APOE,LRP2,Human,LRDB
APOE,VLDLR,Human,LRDB
APOE,LDLR,Human,LRDB
APOE,LRP5,Human,LRDB
APOE,CHRNA4,Human,LRDB
APOE,TREM2,Human,LRDB
APOE,LSR,Human,LRDB
APOE,SORL1,Human,LRDB
APOE,ABCA1,Human,LRDB
APOE,SCARB1,Human,LRDB
APOE,SDC2,Human,LRDB
APOE,LRP8,Human,LRDB
APOE,LRP4,Human,LRDB
APOC2,LDLR,Human,LRDB
NCAN,CDH2,Human,LRDB
NCAN,SDC3,Human,LRDB
BST2,LILRA4,Human,LRDB
BMP15,BMPR2,Human,LRDB
BMP15,BMPR1A,Human,LRDB
BMP15,BMPR1B,Human,LRDB
EPO,EPHB4,Human,LRDB
GDF15,GFRAL,Human,LRDB
GDF15,RET,Human,LRDB
LAMA5,SDC1,Human,LRDB
LAMA5,ITGA6,Human,LRDB
LAMA5,BCAM,Human,LRDB
LAMA5,ITGB1,Human,LRDB
LAMA5,ITGA2,Human,LRDB
F12,GP1BA,Human,LRDB
JAG1,CD46,Human,LRDB
JAG1,NOTCH4,Human,LRDB
JAG1,NOTCH1,Human,LRDB
JAG1,NOTCH2,Human,LRDB
JAG1,NOTCH3,Human,LRDB
CRP,OLR1,Human,LRDB
CRP,CR1,Human,LRDB
NTS,SORT1,Human,LRDB
NTS,NTSR1,Human,LRDB
NTS,NTSR2,Human,LRDB
TSHB,PTH1R,Human,LRDB
TSHB,ADCYAP1R1,Human,LRDB
TSHB,VIPR1,Human,LRDB
TSHB,GPR20,Human,LRDB
TSHB,ADRB2,Human,LRDB
TSHB,ADRB3,Human,LRDB
TSHB,TSHR,Human,LRDB
TSHB,GPR84,Human,LRDB
FST,HJV,Human,LRDB
FST,BMPR2,Human,LRDB
FST,BMPR1B,Human,LRDB
GRP,GRPR,Human,LRDB
GRP,BRS3,Human,LRDB
GRP,NMBR,Human,LRDB
SPX,GALR2,Human,LRDB
DSC1,DSG2,Human,LRDB
SEMA6A,PLXNA4,Human,LRDB
SEMA6A,PLXNA2,Human,LRDB
LACRT,SDC1,Human,LRDB
GDF11,ACVR2B,Human,LRDB
GDF11,ACVR1B,Human,LRDB
GDF11,BMPR2,Human,LRDB
GDF11,BMPR1A,Human,LRDB
GDF11,BMPR1B,Human,LRDB
LAMC1,ITGA6,Human,LRDB
LAMC1,ITGA1,Human,LRDB
LAMC1,ITGA7,Human,LRDB
LAMC1,ITGAV,Human,LRDB
LAMC1,ITGB1,Human,LRDB
LAMC1,ITGA2,Human,LRDB
IL36G,IL36RN,Human,LRDB
IL36G,IL1RL2,Human,LRDB
IL1RN,IL1R1,Human,LRDB
IL1RN,IL1RL2,Human,LRDB
IL1RN,IL1R2,Human,LRDB
IL36A,IL36RN,Human,LRDB
IL36A,IL1RL2,Human,LRDB
IL36B,IL36RN,Human,LRDB
IL36B,IL1RL2,Human,LRDB
CFC1,SMAD3,Human,LRDB
CFC1,ACVR1B,Human,LRDB
ORM1,CCR5,Human,LRDB
CCN3,PLXNA1,Human,LRDB
CCN3,NOTCH1,Human,LRDB
CCL21,ADRA2A,Human,LRDB
CCL21,MTNR1A,Human,LRDB
CCL21,CXCR3,Human,LRDB
CCL21,GRM7,Human,LRDB
CCL21,ACKR2,Human,LRDB
CCL27,CCR10,Human,LRDB
CCL27,ADRA2A,Human,LRDB
CCL27,GRM7,Human,LRDB
CCL27,ACKR2,Human,LRDB
CCL27,MTNR1A,Human,LRDB
TGS1,RXRA,Human,LRDB
MMP7,CD44,Human,LRDB
MMP7,SDC1,Human,LRDB
MMP7,CD151,Human,LRDB
MMP7,ERBB4,Human,LRDB
THBS1,ITGA4,Human,LRDB
THBS1,CD47,Human,LRDB
THBS1,SDC1,Human,LRDB
THBS1,ITGB1,Human,LRDB
THBS1,LRP5,Human,LRDB
THBS1,ITGA2B,Human,LRDB
THBS1,ITGB3,Human,LRDB
THBS1,SDC4,Human,LRDB
THBS1,SCARB1,Human,LRDB
THBS1,ITGA6,Human,LRDB
THBS1,TNFRSF11B,Human,LRDB
THBS1,CD36,Human,LRDB
ADAM10,GPNMB,Human,LRDB
ADAM10,TSPAN5,Human,LRDB
ADAM10,TSPAN15,Human,LRDB
ADAM10,CD44,Human,LRDB
ADAM10,TSPAN10,Human,LRDB
ADAM10,CADM1,Human,LRDB
ADAM10,TSPAN14,Human,LRDB
ADAM10,NOTCH1,Human,LRDB
ADAM10,IL6R,Human,LRDB
ADAM10,MET,Human,LRDB
ADAM10,TSPAN17,Human,LRDB
ADAM10,EPHA3,Human,LRDB
ADAM10,TREM2,Human,LRDB
ADAM10,AXL,Human,LRDB
ADAM10,NRCAM,Human,LRDB
MSTN,ACVR2B,Human,LRDB
COL8A1,ITGA1,Human,LRDB
COL8A1,ITGA2,Human,LRDB
LYZ,ITGAL,Human,LRDB
VWF,SCARA5,Human,LRDB
VWF,ITGA2B,Human,LRDB
VWF,ITGB3,Human,LRDB
VWF,STAB2,Human,LRDB
VWF,SELP,Human,LRDB
VWF,SIRPA,Human,LRDB
VWF,TNFRSF11B,Human,LRDB
VWF,GP1BA,Human,LRDB
CDH1,EGFR,Human,LRDB
CDH1,LRP5,Human,LRDB
CDH1,IGF1R,Human,LRDB
CDH1,ITGB7,Human,LRDB
CDH1,ERBB3,Human,LRDB
CDH1,KLRG1,Human,LRDB
CDH1,CDH2,Human,LRDB
CDH1,ITGAE,Human,LRDB
CDH1,PTPRM,Human,LRDB
CDH1,PTPRF,Human,LRDB
IL17B,IL17RB,Human,LRDB
SEMA7A,ITGB1,Human,LRDB
SEMA7A,ITGA1,Human,LRDB
RIMS2,ABCA1,Human,LRDB
ANOS1,SDC2,Human,LRDB
ANOS1,FGFR1,Human,LRDB
TIMP2,CD44,Human,LRDB
TIMP2,ITGB1,Human,LRDB
LGALS3BP,ITGB1,Human,LRDB
IL37,IL1RAPL1,Human,LRDB
IL1A,IL1R1,Human,LRDB
IL1A,IL1RAP,Human,LRDB
IL1A,IL1R2,Human,LRDB
IL1B,SIGIRR,Human,LRDB
IL1B,IL1R1,Human,LRDB
IL1B,ADRB2,Human,LRDB
IL1B,IL1RAP,Human,LRDB
IL1B,IL1R2,Human,LRDB
MIA,CDH7,Human,LRDB
LCN1,LMBR1L,Human,LRDB
CNTN3,PTPRG,Human,LRDB
IL7,IL7R,Human,LRDB
IL7,IL2RG,Human,LRDB
CKLF,CCR4,Human,LRDB
FARP2,PLXNA3,Human,LRDB
FARP2,PLXNA1,Human,LRDB
FARP2,PLXNA2,Human,LRDB
FARP2,PLXNA4,Human,LRDB
LAMC2,ITGA6,Human,LRDB
LAMC2,CD151,Human,LRDB
LAMC2,ITGB1,Human,LRDB
LAMC2,ITGA2,Human,LRDB
LAMC2,COL17A1,Human,LRDB
NID1,ITGB1,Human,LRDB
NID1,ITGB3,Human,LRDB
NID1,COL13A1,Human,LRDB
NID1,PTPRF,Human,LRDB
NMU,ADRA2A,Human,LRDB
NMU,GRM7,Human,LRDB
NMU,NMUR1,Human,LRDB
NMU,MTNR1A,Human,LRDB
IL21,IL21R,Human,LRDB
IL21,IL2RG,Human,LRDB
FGF2,SDC1,Human,LRDB
FGF2,FGFR1,Human,LRDB
FGF2,FGFR2,Human,LRDB
FGF2,CD44,Human,LRDB
FGF2,SDC3,Human,LRDB
FGF2,SDC4,Human,LRDB
FGF2,GPC4,Human,LRDB
FGF2,SDC2,Human,LRDB
FGF2,FGFRL1,Human,LRDB
FGF2,FGFR4,Human,LRDB
FGF2,FGFR3,Human,LRDB
FGF2,NRP1,Human,LRDB
IL11,IL11RA,Human,LRDB
IL11,IL6ST,Human,LRDB
WNT5A,PTK7,Human,LRDB
WNT5A,LDLR,Human,LRDB
WNT5A,LRP5,Human,LRDB
WNT5A,EPHA7,Human,LRDB
WNT5A,FZD5,Human,LRDB
WNT5A,ROR1,Human,LRDB
WNT5A,VANGL2,Human,LRDB
WNT5A,RYK,Human,LRDB
WNT5A,ROR2,Human,LRDB
WNT5A,PTPRK,Human,LRDB
WNT5A,ADRB2,Human,LRDB
WNT5A,FZD1,Human,LRDB
WNT5A,FZD4,Human,LRDB
WNT5A,FZD9,Human,LRDB
WNT5A,FZD7,Human,LRDB
WNT5A,FZD3,Human,LRDB
WNT5A,FZD8,Human,LRDB
WNT5A,FZD2,Human,LRDB
WNT5A,ANTXR1,Human,LRDB
WNT5A,FZD6,Human,LRDB
FGF10,FGFR2,Human,LRDB
FGF10,FGFRL1,Human,LRDB
FGF10,FGFR1,Human,LRDB
ICAM1,ITGAM,Human,LRDB
ICAM1,ITGAL,Human,LRDB
ICAM1,ITGAX,Human,LRDB
ICAM1,MUC1,Human,LRDB
ICAM1,EGFR,Human,LRDB
ICAM1,CAV1,Human,LRDB
ICAM1,IL2RA,Human,LRDB
ICAM1,ITGB2,Human,LRDB
ICAM1,SPN,Human,LRDB
ICAM1,IL2RG,Human,LRDB
OLFM2,ROBO2,Human,LRDB
F13A1,ITGA4,Human,LRDB
F13A1,ITGB1,Human,LRDB
BST1,CAV1,Human,LRDB
KNG1,ITGAM,Human,LRDB
KNG1,ADRA2A,Human,LRDB
KNG1,RXFP4,Human,LRDB
KNG1,PLAUR,Human,LRDB
KNG1,MTNR1A,Human,LRDB
KNG1,ITGB2,Human,LRDB
KNG1,SDC2,Human,LRDB
KNG1,GRM7,Human,LRDB
KNG1,BDKRB2,Human,LRDB
KNG1,GP1BA,Human,LRDB
VCAN,ITGA4,Human,LRDB
VCAN,CD44,Human,LRDB
VCAN,EGFR,Human,LRDB
VCAN,ITGB1,Human,LRDB
VCAN,TLR1,Human,LRDB
TNC,ITGA5,Human,LRDB
TNC,SDC1,Human,LRDB
TNC,EGFR,Human,LRDB
TNC,ITGB3,Human,LRDB
TNC,ITGB6,Human,LRDB
TNC,PTPRB,Human,LRDB
TNC,ITGA8,Human,LRDB
TNC,ITGA7,Human,LRDB
TNC,ITGB1,Human,LRDB
TNC,SDC4,Human,LRDB
TNC,CNTN1,Human,LRDB
