ligand,receptor,type,species
C1QTNF6,EPHA2,L,Human
C1QTNF6,EPHA3,L,Human
C1QTNF6,EPHB2,L,Human
C1QTNF6,BMPR1A,L,Human
C1QTNF6,EPHB3,L,Human
C1QTNF6,EPHA5,L,Human
C1QTNF6,EPHB4,L,Human
C1QTNF6,EPHB1,L,Human
C1QTNF6,EPHA4,L,Human
C1QTNF6,ACVR2B,L,Human
C1QTNF6,EPHA7,L,Human
C1QTNF6,NRXN2,L,Human
C1QTNF6,EPHA6,L,Human
C1QTNF6,NRXN3,L,Human
C1QTNF7,ITGA2,L,Human
C1QTNF8,FGFR1,L,Human
C1QTNF8,FGFR2,L,Human
C1QTNF8,FGFR4,L,Human
C1QTNF8,FGFR3,L,Human
C1QTNF8,ACVR2A,L,Human
C1QTNF8,EPHA2,L,Human
C1QTNF8,EPHA3,L,Human
C1QTNF8,EPHB2,L,Human
C1QTNF8,BMPR1A,L,Human
C1QTNF8,EPHB3,L,Human
C1QTNF8,EPHA5,L,Human
C1QTNF8,EPHB4,L,Human
C1QTNF8,EPHB1,L,Human
C1QTNF8,EPHA4,L,Human
C1QTNF8,ACVR2B,L,Human
C1QTNF8,EPHA7,L,Human
C1QTNF8,NRXN2,L,Human
C1QTNF8,EPHA6,L,Human
C1QTNF8,NRXN3,L,Human
C1QTNF9,ITGA2,L,Human
C3orf33,VIPR1,L,Human
C3orf33,ADCYAP1R1,L,Human
C4BPB,ITGA2,L,Human
C4orf48,FZD9,L,Human
C4orf48,FZD7,L,Human
C4orf48,FGFR1,L,Human
C4orf48,FGFR2,L,Human
C4orf48,FGFR4,L,Human
C4orf48,FGFR3,L,Human
C4orf48,ACVR2A,L,Human
C4orf48,EPHA2,L,Human
C4orf48,EPHA3,L,Human
C4orf48,EPHB2,L,Human
C4orf48,BMPR1A,L,Human
C4orf48,EPHB3,L,Human
C4orf48,EPHA5,L,Human
C4orf48,EPHB4,L,Human
C4orf48,EPHB1,L,Human
C4orf48,EPHA4,L,Human
C4orf48,FZD5,L,Human
C4orf48,ACVR2B,L,Human
C4orf48,EPHA7,L,Human
C4orf48,NRXN2,L,Human
C4orf48,EPHA6,L,Human
C4orf48,NRXN3,L,Human
C5orf46,ACKR2,L,Human
C5orf46,RAMP3,L,Human
C5orf46,ADRA2A,L,Human
C5orf46,TSHR,L,Human
C5orf46,VIPR1,L,Human
C5orf46,CCR1,L,Human
C5orf46,OPRM1,L,Human
C5orf46,OPRD1,L,Human
C5orf46,ADCYAP1R1,L,Human
C5orf46,GLP1R,L,Human
C5orf46,MTNR1A,L,Human
C5orf46,CCR3,L,Human
C5orf46,CCR5,L,Human
C5orf46,PTH1R,L,Human
C5orf46,GRM7,L,Human
C5orf46,ACKR4,L,Human
C5orf64,VIPR1,L,Human
C5orf64,ADCYAP1R1,L,Human
C6orf120,FGFR1,L,Human
C6orf120,FGFR2,L,Human
C6orf120,FGFR4,L,Human
C6orf120,FGFR3,L,Human
C6orf120,ACVR2A,L,Human
C6orf120,EPHA2,L,Human
C6orf120,EPHA3,L,Human
C6orf120,EPHA8,L,Human
C6orf120,EPHB2,L,Human
C6orf120,BMPR1A,L,Human
C6orf120,EPHB3,L,Human
C6orf120,EPHA5,L,Human
C6orf120,EPHB4,L,Human
C6orf120,EPHB1,L,Human
C6orf120,EPHA4,L,Human
C6orf120,ACVR2B,L,Human
C6orf120,EPHA7,L,Human
C6orf120,NRXN2,L,Human
C6orf120,EPHA6,L,Human
C6orf120,NRXN3,L,Human
C6orf15,RAMP3,L,Human
C6orf15,TSHR,L,Human
C6orf15,VIPR1,L,Human
C6orf15,ADCYAP1R1,L,Human
C6orf15,GLP1R,L,Human
CALU,NRXN2,L,Human
CALU,NRXN3,L,Human
CARTPT,RAMP1,L,Human
CARTPT,RAMP2,L,Human
CARTPT,RAMP3,L,Human
CARTPT,CALCR,L,Human
CARTPT,VIPR1,L,Human
CARTPT,ADCYAP1R1,L,Human
CARTPT,PTH1R,L,Human
CARTPT,CALCRL,L,Human
CBLN1,FGFR1,L,Human
CBLN1,FGFR2,L,Human
CBLN1,FGFR4,L,Human
CBLN1,FGFR3,L,Human
CBLN1,ACVR2A,L,Human
CBLN1,EPHA2,L,Human
CBLN1,EPHA3,L,Human
CBLN1,EPHA8,L,Human
CBLN1,EPHB2,L,Human
CBLN1,BMPR1A,L,Human
CBLN1,EPHB3,L,Human
CBLN1,EPHA5,L,Human
CBLN1,EPHB4,L,Human
CBLN1,EPHB1,L,Human
CBLN1,EPHA4,L,Human
CBLN1,ACVR2B,L,Human
CBLN1,EPHA7,L,Human
CBLN1,NRXN2,L,Human
CBLN1,EPHA6,L,Human
CBLN1,NRXN3,L,Human
CBLN2,BMPR1B,L,Human
CBLN2,FZD7,L,Human
CBLN2,FGFR1,L,Human
CBLN2,FGFR2,L,Human
CBLN2,FGFR4,L,Human
CBLN2,FGFR3,L,Human
CBLN2,ACVR2A,L,Human
CBLN2,EPHA2,L,Human
CBLN2,EPHA3,L,Human
CBLN2,EPHA8,L,Human
CBLN2,EPHB2,L,Human
CBLN2,BMPR1A,L,Human
CBLN2,EPHB3,L,Human
CBLN2,EPHA5,L,Human
CBLN2,EPHB4,L,Human
CBLN2,EPHB1,L,Human
CBLN2,EPHA4,L,Human
CBLN2,ACVR2B,L,Human
CBLN2,BMPR2,L,Human
CBLN2,EPHA7,L,Human
CBLN2,NRXN2,L,Human
CBLN2,EPHA6,L,Human
CBLN2,NRXN3,L,Human
CBLN3,BMPR1B,L,Human
CBLN3,FZD7,L,Human
CBLN3,FGFR1,L,Human
CBLN3,FGFR2,L,Human
CBLN3,FGFR4,L,Human
CBLN3,FGFR3,L,Human
CBLN3,ACVR2A,L,Human
CBLN3,EPHA2,L,Human
CBLN3,EPHA3,L,Human
CBLN3,EPHA8,L,Human
CBLN3,EPHB2,L,Human
CBLN3,BMPR1A,L,Human
CBLN3,EPHB3,L,Human
CBLN3,EPHA5,L,Human
CBLN3,EPHB4,L,Human
CBLN3,EPHB1,L,Human
CBLN3,EPHA4,L,Human
CBLN3,ACVR2B,L,Human
CBLN3,BMPR2,L,Human
CBLN3,EPHA7,L,Human
CBLN3,NRXN2,L,Human
CBLN3,EPHA6,L,Human
CBLN3,NRXN3,L,Human
CBLN4,BMPR1B,L,Human
CBLN4,FGFR1,L,Human
CBLN4,FGFR2,L,Human
CBLN4,FGFR4,L,Human
CBLN4,FGFR3,L,Human
CBLN4,ACVR2A,L,Human
CBLN4,EPHA2,L,Human
CBLN4,EPHA3,L,Human
CBLN4,EPHA8,L,Human
CBLN4,EPHB2,L,Human
CBLN4,BMPR1A,L,Human
CBLN4,EPHB3,L,Human
CBLN4,EPHA5,L,Human
CBLN4,EPHB4,L,Human
CBLN4,EPHB1,L,Human
CBLN4,EPHA4,L,Human
CBLN4,ACVR2B,L,Human
CBLN4,BMPR2,L,Human
CBLN4,EPHA7,L,Human
CBLN4,NRXN2,L,Human
CBLN4,EPHA6,L,Human
CBLN4,NRXN3,L,Human
CCDC3,RAMP3,L,Human
CCDC3,FGFR1,L,Human
CCDC3,ITGA2,L,Human
CCDC3,ITGB6,L,Human
CCDC3,FGFR2,L,Human
CCDC3,FGFR4,L,Human
CCDC3,FGFR3,L,Human
CCDC3,ACVR2A,L,Human
CCDC3,EPHA2,L,Human
CCDC3,EPHA3,L,Human
CCDC3,EPHB2,L,Human
CCDC3,VIPR1,L,Human
CCDC3,BMPR1A,L,Human
CCDC3,ADCYAP1R1,L,Human
CCDC3,EPHB3,L,Human
CCDC3,EPHA5,L,Human
CCDC3,EPHB4,L,Human
CCDC3,EPHB1,L,Human
CCDC3,EPHA4,L,Human
CCDC3,ACVR2B,L,Human
CCDC3,EPHA7,L,Human
CCDC3,NRXN2,L,Human
CCDC3,NRXN3,L,Human
CCER2,RAMP3,L,Human
CCER2,ITGA2,L,Human
CCER2,VIPR1,L,Human
CCER2,ADCYAP1R1,L,Human
CDCP2,FGFR1,L,Human
CDCP2,FGFR2,L,Human
CDCP2,FGFR3,L,Human
CDCP2,NRXN2,L,Human
CDCP2,NRXN3,L,Human
CDSN,TSHR,L,Human
CDSN,ITGA2,L,Human
CDSN,VIPR1,L,Human
CDSN,ADCYAP1R1,L,Human
CFP,ITGA2,L,Human
CGB1,RAMP3,L,Human
CGB1,VIPR1,L,Human
CGB1,ADCYAP1R1,L,Human
CGB2,FZD9,L,Human
CGB2,RAMP3,L,Human
CGB2,FZD7,L,Human
CGB2,VIPR1,L,Human
CGB2,ADCYAP1R1,L,Human
CGB2,GLP1R,L,Human
CGB2,PTH1R,L,Human
CGB2,FZD5,L,Human
CGB7,FZD9,L,Human
CGB7,RAMP1,L,Human
CGB7,RAMP3,L,Human
CGB7,FZD7,L,Human
CGB7,CALCR,L,Human
CGB7,VIPR1,L,Human
CGB7,ADCYAP1R1,L,Human
CGB7,GLP1R,L,Human
CGB7,PTH1R,L,Human
CGB7,FZD5,L,Human
CGB7,CALCRL,L,Human
CGREF1,ITGA2,L,Human
CHADL,FGFR1,L,Human
CHADL,ITGB4,L,Human
CHADL,ITGA2,L,Human
CHADL,FGFR2,L,Human
CHADL,FGFR4,L,Human
CHADL,FGFR3,L,Human
CHADL,ITGA6,L,Human
CHADL,ITGA3,L,Human
CHADL,EPHA2,L,Human
CHADL,EPHB2,L,Human
CHADL,EPHB3,L,Human
CHADL,EPHB4,L,Human
CHADL,EPHB1,L,Human
CHADL,EPHA4,L,Human
CHADL,NOTCH2,L,Human
CHADL,EPHA7,L,Human
CHADL,NOTCH4,L,Human
CHADL,NRXN2,L,Human
CHADL,NOTCH3,L,Human
CHADL,NRXN3,L,Human
CHGA,RAMP3,L,Human
CHGA,TSHR,L,Human
CHGA,ITGA2,L,Human
CHGA,VIPR1,L,Human
CHGA,ADCYAP1R1,L,Human
CHGB,RAMP3,L,Human
CHGB,TSHR,L,Human
CHGB,VIPR1,L,Human
CHGB,ADCYAP1R1,L,Human
CHGB,PTH1R,L,Human
CHRD,ITGA2,L,Human
CHRDL1,ITGA2,L,Human
CHRDL2,ITGA2,L,Human
CLEC11A,ITGA2,L,Human
CLEC18A,ITGA2,L,Human
CLEC18C,ITGA2,L,Human
CLPSL1,RAMP3,L,Human
CLPSL1,VIPR1,L,Human
CLPSL1,ADCYAP1R1,L,Human
CLPSL2,RAMP3,L,Human
CLPSL2,SSTR4,L,Human
CLPSL2,VIPR1,L,Human
CLPSL2,SSTR3,L,Human
CLPSL2,SSTR5,L,Human
CLPSL2,ADCYAP1R1,L,Human
CLU,ITGA2,L,Human
CLUL1,ITGA2,L,Human
COL20A1,ITGA2,L,Human
COL26A1,ITGA2,L,Human
COLEC10,ITGA2,L,Human
COLEC11,ITGA2,L,Human
CPN2,ITGA2,L,Human
CPXM2,NRXN2,L,Human
CPXM2,NRXN3,L,Human
CRB2,ITGA2,L,Human
CREG1,VIPR1,L,Human
CREG1,ADCYAP1R1,L,Human
CREG2,RAMP3,L,Human
CREG2,FGFR1,L,Human
CREG2,FGFR2,L,Human
CREG2,FGFR3,L,Human
CREG2,VIPR1,L,Human
CREG2,ADCYAP1R1,L,Human
CRYAB,FGFR1,L,Human
CRYAB,FGFR2,L,Human
CRYAB,FGFR3,L,Human
CSN1S1,FZD9,L,Human
CSN1S1,ACKR2,L,Human
CSN1S1,RAMP1,L,Human
CSN1S1,RAMP2,L,Human
CSN1S1,RAMP3,L,Human
CSN1S1,FZD7,L,Human
CSN1S1,GLP2R,L,Human
CSN1S1,ADRB2,L,Human
CSN1S1,ADRA2A,L,Human
CSN1S1,CHRM1,L,Human
CSN1S1,TSHR,L,Human
CSN1S1,ADRA2B,L,Human
CSN1S1,S1PR1,L,Human
CSN1S1,EDNRB,L,Human
CSN1S1,EDNRA,L,Human
CSN1S1,ADORA1,L,Human
CSN1S1,SSTR2,L,Human
CSN1S1,CALCR,L,Human
CSN1S1,SSTR4,L,Human
CSN1S1,VIPR1,L,Human
CSN1S1,CCR1,L,Human
CSN1S1,SSTR3,L,Human
CSN1S1,SSTR5,L,Human
CSN1S1,OPRM1,L,Human
CSN1S1,OPRD1,L,Human
CSN1S1,OPRK1,L,Human
CSN1S1,ADCYAP1R1,L,Human
CSN1S1,PTGIR,L,Human
CSN1S1,GLP1R,L,Human
CSN1S1,GCGR,L,Human
CSN1S1,MTNR1A,L,Human
CSN1S1,MTNR1B,L,Human
CSN1S1,CCR3,L,Human
CSN1S1,CCR5,L,Human
CSN1S1,PTH1R,L,Human
CSN1S1,FZD5,L,Human
CSN1S1,GRM7,L,Human
CSN1S1,GRM3,L,Human
CSN1S1,GRM4,L,Human
CSN1S1,CALCRL,L,Human
CSN1S1,GHSR,L,Human
CSN1S1,S1PR3,L,Human
CSN1S1,GPR20,L,Human
CSN1S1,ACKR4,L,Human
CSN1S1,GPR84,L,Human
CSN1S1,LPAR3,L,Human
CSN2,ACKR2,L,Human
CSN2,RAMP3,L,Human
CSN2,GLP2R,L,Human
CSN2,ADRB2,L,Human
CSN2,ADRA2A,L,Human
CSN2,CHRM1,L,Human
CSN2,TSHR,L,Human
CSN2,ADRA2B,L,Human
CSN2,EDNRB,L,Human
CSN2,EDNRA,L,Human
CSN2,ADORA1,L,Human
CSN2,SSTR2,L,Human
CSN2,SSTR4,L,Human
CSN2,VIPR1,L,Human
CSN2,CCR1,L,Human
CSN2,SSTR3,L,Human
CSN2,SSTR5,L,Human
CSN2,OPRM1,L,Human
CSN2,OPRD1,L,Human
CSN2,OPRK1,L,Human
CSN2,ADCYAP1R1,L,Human
CSN2,GLP1R,L,Human
CSN2,GCGR,L,Human
CSN2,MTNR1A,L,Human
CSN2,MTNR1B,L,Human
CSN2,CCR3,L,Human
CSN2,CCR5,L,Human
CSN2,PTH1R,L,Human
CSN2,GRM7,L,Human
CSN2,GRM3,L,Human
CSN2,GRM4,L,Human
CSN2,GHSR,L,Human
CSN2,ACKR4,L,Human
CSN2,GPR84,L,Human
CSN3,VIPR1,L,Human
CSN3,ADCYAP1R1,L,Human
CST11,RAMP3,L,Human
CST11,VIPR1,L,Human
CST11,ADCYAP1R1,L,Human
CST2,RAMP3,L,Human
CST2,VIPR1,L,Human
CST2,ADCYAP1R1,L,Human
CST4,RAMP3,L,Human
CST4,VIPR1,L,Human
CST4,ADCYAP1R1,L,Human
CST5,ACKR2,L,Human
CST5,RAMP3,L,Human
CST5,VIPR1,L,Human
CST5,ADCYAP1R1,L,Human
CST5,CCR5,L,Human
CST6,RAMP3,L,Human
CST6,VIPR1,L,Human
CST6,ADCYAP1R1,L,Human
CST8,ACKR2,L,Human
CST8,RAMP3,L,Human
CST8,VIPR1,L,Human
CST8,CCR1,L,Human
CST8,ADCYAP1R1,L,Human
CST8,CCR3,L,Human
CST8,CCR5,L,Human
CST8,ACKR4,L,Human
CST9L,RAMP3,L,Human
CST9L,VIPR1,L,Human
CST9L,ADCYAP1R1,L,Human
CSTL1,ACKR2,L,Human
CSTL1,RAMP3,L,Human
CSTL1,SSTR4,L,Human
CSTL1,VIPR1,L,Human
CSTL1,CCR1,L,Human
CSTL1,SSTR3,L,Human
CSTL1,SSTR5,L,Human
CSTL1,ADCYAP1R1,L,Human
CSTL1,CCR3,L,Human
CSTL1,CCR5,L,Human
CSTL1,ACKR4,L,Human
DAND5,FZD9,L,Human
DAND5,RAMP1,L,Human
DAND5,RAMP3,L,Human
DAND5,FZD7,L,Human
DAND5,FGFR1,L,Human
DAND5,FGFR2,L,Human
DAND5,FGFR3,L,Human
DAND5,ACVR2A,L,Human
DAND5,CALCR,L,Human
DAND5,VIPR1,L,Human
DAND5,BMPR1A,L,Human
DAND5,ADCYAP1R1,L,Human
DAND5,PTH1R,L,Human
DAND5,FZD5,L,Human
DAND5,ACVR2B,L,Human
DAND5,CALCRL,L,Human
DCD,VIPR1,L,Human
DCD,ADCYAP1R1,L,Human
DEAF1,FGFR1,L,Human
DEAF1,FGFR2,L,Human
DEAF1,FGFR4,L,Human
DEAF1,FGFR3,L,Human
DEAF1,ACVR2A,L,Human
DEAF1,EPHA2,L,Human
DEAF1,EPHA3,L,Human
DEAF1,EPHB2,L,Human
DEAF1,BMPR1A,L,Human
DEAF1,EPHB3,L,Human
DEAF1,EPHA5,L,Human
DEAF1,EPHB4,L,Human
DEAF1,EPHB1,L,Human
DEAF1,EPHA4,L,Human
DEAF1,ACVR2B,L,Human
DEAF1,EPHA7,L,Human
DEAF1,NRXN2,L,Human
DEAF1,EPHA6,L,Human
DEAF1,NRXN3,L,Human
DEFA1,F2RL2,L,Human
DEFA1,ACKR2,L,Human
DEFA1,GALR3,L,Human
DEFA1,RAMP1,L,Human
DEFA1,RAMP2,L,Human
DEFA1,RAMP3,L,Human
DEFA1,GLP2R,L,Human
DEFA1,S1PR4,L,Human
DEFA1,ADRB2,L,Human
DEFA1,HTR1A,L,Human
DEFA1,ADRA2A,L,Human
DEFA1,CHRM1,L,Human
DEFA1,ADRB3,L,Human
DEFA1,TSHR,L,Human
DEFA1,ADRA2B,L,Human
DEFA1,S1PR1,L,Human
DEFA1,C5AR1,L,Human
DEFA1,TBXA2R,L,Human
DEFA1,EDNRB,L,Human
DEFA1,EDNRA,L,Human
DEFA1,F2R,L,Human
DEFA1,HTR1B,L,Human
DEFA1,HTR2A,L,Human
DEFA1,HTR2C,L,Human
DEFA1,AVPR2,L,Human
DEFA1,ADORA1,L,Human
DEFA1,OXTR,L,Human
DEFA1,SSTR1,L,Human
DEFA1,SSTR2,L,Human
