external_gene_name,mouse_ensembl_gene_id,human_ensembl_gene_id,hgnc_symbol
Ighv5-15,ENSMUSG00000094134,ENSG00000211946,IGHV3-20
Ighv5-16,ENSMUSG00000094194,ENSG00000211946,IGHV3-20
Ighv11-1,ENSMUSG00000094533,ENSG00000211946,IGHV3-20
Ighv5-6,ENSMUSG00000094951,ENSG00000211946,IGHV3-20
Ighv5-9-1,ENSMUSG00000095210,ENSG00000211946,IGHV3-20
Ighv5-9,ENSMUSG00000095285,ENSG00000211946,IGHV3-20
Ighv5-12,ENSMUSG00000095429,ENSG00000211946,IGHV3-20
Ighv5-17,ENSMUSG00000095571,ENSG00000211946,IGHV3-20
Ighv5-4,ENSMUSG00000095612,ENSG00000211946,IGHV3-20
Ighv11-2,ENSMUSG00000096108,ENSG00000211946,IGHV3-20
Ighv5-12-4,ENSMUSG00000103033,ENSG00000211946,IGHV3-20
Ighv14-4,ENSMUSG00000076666,ENSG00000211950,IGHV1-24
Ighv15-2,ENSMUSG00000076688,ENSG00000211950,IGHV1-24
Ighv1-18,ENSMUSG00000076695,ENSG00000211950,IGHV1-24
Ighv1-47,ENSMUSG00000076709,ENSG00000211950,IGHV1-24
Ighv1-49,ENSMUSG00000076710,ENSG00000211950,IGHV1-24
Ighv1-53,ENSMUSG00000093894,ENSG00000211950,IGHV1-24
Ighv1-76,ENSMUSG00000093896,ENSG00000211950,IGHV1-24
Ighv1-34,ENSMUSG00000093955,ENSG00000211950,IGHV1-24
Ighv1-36,ENSMUSG00000094051,ENSG00000211950,IGHV1-24
Ighv1-80,ENSMUSG00000094075,ENSG00000211950,IGHV1-24
Ighv1-61,ENSMUSG00000094087,ENSG00000211950,IGHV1-24
Ighv1-64,ENSMUSG00000094088,ENSG00000211950,IGHV1-24
Ighv1-74,ENSMUSG00000094124,ENSG00000211950,IGHV1-24
Ighv1-50,ENSMUSG00000094198,ENSG00000211950,IGHV1-24
Ighv1-24,ENSMUSG00000094241,ENSG00000211950,IGHV1-24
Ighv1-69,ENSMUSG00000094502,ENSG00000211950,IGHV1-24
Ighv14-1,ENSMUSG00000094509,ENSG00000211950,IGHV1-24
Ighv1-26,ENSMUSG00000094546,ENSG00000211950,IGHV1-24
Ighv1-22,ENSMUSG00000094561,ENSG00000211950,IGHV1-24
Ighv1-42,ENSMUSG00000094652,ENSG00000211950,IGHV1-24
Ighv1-81,ENSMUSG00000094689,ENSG00000211950,IGHV1-24
Ighv1-9,ENSMUSG00000094694,ENSG00000211950,IGHV1-24
Ighv1-54,ENSMUSG00000094787,ENSG00000211950,IGHV1-24
Ighv1-56,ENSMUSG00000094862,ENSG00000211950,IGHV1-24
Ighv1-84,ENSMUSG00000094940,ENSG00000211950,IGHV1-24
Ighv1-82,ENSMUSG00000095127,ENSG00000211950,IGHV1-24
Ighv1-39,ENSMUSG00000095130,ENSG00000211950,IGHV1-24
Ighv1-59,ENSMUSG00000095197,ENSG00000211950,IGHV1-24
Ighv1-7,ENSMUSG00000095200,ENSG00000211950,IGHV1-24
Ighv1-52,ENSMUSG00000095204,ENSG00000211950,IGHV1-24
Ighv1-12,ENSMUSG00000095416,ENSG00000211950,IGHV1-24
Ighv1-4,ENSMUSG00000095442,ENSG00000211950,IGHV1-24
Ighv1-66,ENSMUSG00000095519,ENSG00000211950,IGHV1-24
Ighv1-16,ENSMUSG00000095554,ENSG00000211950,IGHV1-24
Ighv14-2,ENSMUSG00000095583,ENSG00000211950,IGHV1-24
Ighv1-55,ENSMUSG00000095589,ENSG00000211950,IGHV1-24
Ighv14-3,ENSMUSG00000095642,ENSG00000211950,IGHV1-24
Ighv1-20,ENSMUSG00000095761,ENSG00000211950,IGHV1-24
Ighv1-43,ENSMUSG00000095859,ENSG00000211950,IGHV1-24
Ighv1-67,ENSMUSG00000095863,ENSG00000211950,IGHV1-24
Ighv1-58,ENSMUSG00000095889,ENSG00000211950,IGHV1-24
Ighv1-37,ENSMUSG00000095923,ENSG00000211950,IGHV1-24
Ighv1-75,ENSMUSG00000096020,ENSG00000211950,IGHV1-24
Ighv1-72,ENSMUSG00000096074,ENSG00000211950,IGHV1-24
Ighv1-62-2,ENSMUSG00000096078,ENSG00000211950,IGHV1-24
Ighv1-85,ENSMUSG00000096150,ENSG00000211950,IGHV1-24
Ighv1-78,ENSMUSG00000096326,ENSG00000211950,IGHV1-24
Ighv1-19,ENSMUSG00000096410,ENSG00000211950,IGHV1-24
Ighv1-77,ENSMUSG00000096452,ENSG00000211950,IGHV1-24
Ighv1-5,ENSMUSG00000096499,ENSG00000211950,IGHV1-24
Ighv1-71,ENSMUSG00000096577,ENSG00000211950,IGHV1-24
Ighv1-31,ENSMUSG00000096649,ENSG00000211950,IGHV1-24
Ighv1-63,ENSMUSG00000096672,ENSG00000211950,IGHV1-24
Ighv1-62-3,ENSMUSG00000096767,ENSG00000211950,IGHV1-24
Ighv1-62-1,ENSMUSG00000102313,ENSG00000211950,IGHV1-24
Ighv1-11,ENSMUSG00000102888,ENSG00000211950,IGHV1-24
Ighv1-15,ENSMUSG00000103254,ENSG00000211950,IGHV1-24
Ighv1-23,ENSMUSG00000103290,ENSG00000211950,IGHV1-24
Ighv8-12,ENSMUSG00000076731,ENSG00000211974,IGHV2-70D
Ighv8-13,ENSMUSG00000076733,ENSG00000211974,IGHV2-70D
Ighv8-6,ENSMUSG00000094505,ENSG00000211974,IGHV2-70D
Ighv8-9,ENSMUSG00000095117,ENSG00000211974,IGHV2-70D
Ighv8-11,ENSMUSG00000095170,ENSG00000211974,IGHV2-70D
Ighv8-4,ENSMUSG00000096355,ENSG00000211974,IGHV2-70D
Ighv8-2,ENSMUSG00000102301,ENSG00000211974,IGHV2-70D
Ighv8-5,ENSMUSG00000102364,ENSG00000211974,IGHV2-70D
Ighv8-8,ENSMUSG00000104452,ENSG00000211974,IGHV2-70D
Igkv18-36,ENSMUSG00000076572,ENSG00000228325,IGKV3D-7
Igkv15-103,ENSMUSG00000076523,ENSG00000240671,IGKV1-8
Igkv15-103,ENSMUSG00000076523,ENSG00000241755,IGKV1-9
Igkv15-103,ENSMUSG00000076523,ENSG00000239855,IGKV1-6
Igkv15-103,ENSMUSG00000076523,ENSG00000243290,IGKV1-12
Ighv14-4,ENSMUSG00000076666,ENSG00000281990,IGHV1-69-2
Ighv15-2,ENSMUSG00000076688,ENSG00000281990,IGHV1-69-2
Ighv1-18,ENSMUSG00000076695,ENSG00000281990,IGHV1-69-2
Ighv1-47,ENSMUSG00000076709,ENSG00000281990,IGHV1-69-2
Ighv1-49,ENSMUSG00000076710,ENSG00000281990,IGHV1-69-2
Ighv1-53,ENSMUSG00000093894,ENSG00000281990,IGHV1-69-2
Ighv1-76,ENSMUSG00000093896,ENSG00000281990,IGHV1-69-2
Ighv1-34,ENSMUSG00000093955,ENSG00000281990,IGHV1-69-2
Ighv1-36,ENSMUSG00000094051,ENSG00000281990,IGHV1-69-2
Ighv1-80,ENSMUSG00000094075,ENSG00000281990,IGHV1-69-2
Ighv1-61,ENSMUSG00000094087,ENSG00000281990,IGHV1-69-2
Ighv1-64,ENSMUSG00000094088,ENSG00000281990,IGHV1-69-2
Ighv1-74,ENSMUSG00000094124,ENSG00000281990,IGHV1-69-2
Ighv1-50,ENSMUSG00000094198,ENSG00000281990,IGHV1-69-2
Ighv1-24,ENSMUSG00000094241,ENSG00000281990,IGHV1-69-2
Ighv1-69,ENSMUSG00000094502,ENSG00000281990,IGHV1-69-2
Ighv14-1,ENSMUSG00000094509,ENSG00000281990,IGHV1-69-2
Ighv1-26,ENSMUSG00000094546,ENSG00000281990,IGHV1-69-2
Ighv1-22,ENSMUSG00000094561,ENSG00000281990,IGHV1-69-2
Ighv1-42,ENSMUSG00000094652,ENSG00000281990,IGHV1-69-2
Ighv1-81,ENSMUSG00000094689,ENSG00000281990,IGHV1-69-2
Ighv1-9,ENSMUSG00000094694,ENSG00000281990,IGHV1-69-2
Ighv1-54,ENSMUSG00000094787,ENSG00000281990,IGHV1-69-2
Ighv1-56,ENSMUSG00000094862,ENSG00000281990,IGHV1-69-2
Ighv1-84,ENSMUSG00000094940,ENSG00000281990,IGHV1-69-2
Ighv1-82,ENSMUSG00000095127,ENSG00000281990,IGHV1-69-2
Ighv1-39,ENSMUSG00000095130,ENSG00000281990,IGHV1-69-2
Ighv1-59,ENSMUSG00000095197,ENSG00000281990,IGHV1-69-2
Ighv1-7,ENSMUSG00000095200,ENSG00000281990,IGHV1-69-2
Ighv1-52,ENSMUSG00000095204,ENSG00000281990,IGHV1-69-2
Ighv1-12,ENSMUSG00000095416,ENSG00000281990,IGHV1-69-2
Ighv1-4,ENSMUSG00000095442,ENSG00000281990,IGHV1-69-2
Ighv1-66,ENSMUSG00000095519,ENSG00000281990,IGHV1-69-2
Ighv1-16,ENSMUSG00000095554,ENSG00000281990,IGHV1-69-2
Ighv14-2,ENSMUSG00000095583,ENSG00000281990,IGHV1-69-2
Ighv1-55,ENSMUSG00000095589,ENSG00000281990,IGHV1-69-2
Ighv14-3,ENSMUSG00000095642,ENSG00000281990,IGHV1-69-2
Ighv1-20,ENSMUSG00000095761,ENSG00000281990,IGHV1-69-2
Ighv1-43,ENSMUSG00000095859,ENSG00000281990,IGHV1-69-2
Ighv1-67,ENSMUSG00000095863,ENSG00000281990,IGHV1-69-2
Ighv1-58,ENSMUSG00000095889,ENSG00000281990,IGHV1-69-2
Ighv1-37,ENSMUSG00000095923,ENSG00000281990,IGHV1-69-2
Ighv1-75,ENSMUSG00000096020,ENSG00000281990,IGHV1-69-2
Ighv1-72,ENSMUSG00000096074,ENSG00000281990,IGHV1-69-2
Ighv1-62-2,ENSMUSG00000096078,ENSG00000281990,IGHV1-69-2
Ighv1-85,ENSMUSG00000096150,ENSG00000281990,IGHV1-69-2
Ighv1-78,ENSMUSG00000096326,ENSG00000281990,IGHV1-69-2
Ighv1-19,ENSMUSG00000096410,ENSG00000281990,IGHV1-69-2
Ighv1-77,ENSMUSG00000096452,ENSG00000281990,IGHV1-69-2
Ighv1-5,ENSMUSG00000096499,ENSG00000281990,IGHV1-69-2
Ighv1-71,ENSMUSG00000096577,ENSG00000281990,IGHV1-69-2
Ighv1-31,ENSMUSG00000096649,ENSG00000281990,IGHV1-69-2
Ighv1-63,ENSMUSG00000096672,ENSG00000281990,IGHV1-69-2
Ighv1-62-3,ENSMUSG00000096767,ENSG00000281990,IGHV1-69-2
Ighv1-62-1,ENSMUSG00000102313,ENSG00000281990,IGHV1-69-2
Ighv1-11,ENSMUSG00000102888,ENSG00000281990,IGHV1-69-2
Ighv1-15,ENSMUSG00000103254,ENSG00000281990,IGHV1-69-2
Ighv1-23,ENSMUSG00000103290,ENSG00000281990,IGHV1-69-2
Ighv9-2,ENSMUSG00000094102,ENSG00000282122,IGHV7-4-1
Ighv9-4,ENSMUSG00000094322,ENSG00000282122,IGHV7-4-1
Ighv9-3,ENSMUSG00000096459,ENSG00000282122,IGHV7-4-1
